prolific_id,teacher_condition,block_condition,block_index,game_type,condition_index,condition_count_index,total_reward,human_total_reward,method,solver,choice_variance,choice_entropy
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,19.0,19.0,Hybrid Choice-Reward,UCB,3.972222222222222,0.785235442391543
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,23.0,13.0,Hybrid Choice-Reward,UCB,0.0,-0.0
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,15.0,19.0,Hybrid Choice-Only,UCB,6.373263888888888,1.938721875540867
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,22.0,13.0,Hybrid Choice-Only,UCB,0.3055555555555555,0.41381685030363374
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,20.0,19.0,Naive Estimator,UCB,1.826388888888889,1.2908520829727552
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,20.0,13.0,Naive Estimator,UCB,1.222222222222222,0.41381685030363374
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,12.0,15.0,Hybrid Choice-Reward,UCB,11.916666666666666,3.584962500721156
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,20.0,21.0,Hybrid Choice-Reward,UCB,3.234375,0.24988229283318544
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,10.0,15.0,Hybrid Choice-Only,UCB,11.916666666666666,3.584962500721156
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,19.0,21.0,Hybrid Choice-Only,UCB,0.359375,0.24988229283318544
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,9.0,15.0,Naive Estimator,UCB,11.916666666666666,3.584962500721156
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,17.0,21.0,Naive Estimator,UCB,1.222222222222222,0.41381685030363374
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,9.0,9.0,Hybrid Choice-Reward,UCB,11.916666666666666,3.584962500721156
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,14.0,10.0,Hybrid Choice-Reward,UCB,2.2065972222222228,0.8886865525783176
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,7.0,9.0,Hybrid Choice-Only,UCB,11.916666666666666,3.584962500721156
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,23.0,10.0,Hybrid Choice-Only,UCB,1.75,0.5435644431995964
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,12.0,9.0,Naive Estimator,UCB,11.916666666666666,3.584962500721156
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,18.0,10.0,Naive Estimator,UCB,1.0833333333333333,1.2593984370492772
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,12.0,21.0,Hybrid Choice-Reward,UCB,5.909722222222222,2.4072682296173893
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,14.0,18.0,Hybrid Choice-Reward,UCB,3.331597222222222,1.3824373408045867
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,22.0,21.0,Hybrid Choice-Only,UCB,0.359375,0.24988229283318544
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,23.0,18.0,Hybrid Choice-Only,UCB,0.0,-0.0
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,19.0,21.0,Naive Estimator,UCB,0.6927083333333334,1.0238995733215064
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,21.0,18.0,Naive Estimator,UCB,0.0,-0.0
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,21.0,15.0,Hybrid Choice-Reward,UCB,1.373263888888889,0.6583514224564075
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,20.0,20.0,Hybrid Choice-Reward,UCB,0.0,-0.0
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,14.0,15.0,Hybrid Choice-Only,UCB,9.659722222222221,2.3716535224393334
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,21.0,20.0,Hybrid Choice-Only,UCB,0.0,-0.0
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,10.0,15.0,Naive Estimator,UCB,13.020833333333334,2.5943609377704338
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,13.0,20.0,Naive Estimator,UCB,3.0833333333333335,0.49715018363696706
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,23.0,8.0,Hybrid Choice-Reward,UCB,0.0,-0.0
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,18.0,12.0,Hybrid Choice-Reward,UCB,2.8888888888888893,0.8166890883150209
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,14.0,8.0,Hybrid Choice-Only,UCB,7.6649305555555545,1.956908425151817
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,15.0,12.0,Hybrid Choice-Only,UCB,8.4375,0.954434002924965
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,13.0,8.0,Naive Estimator,UCB,13.243055555555552,2.5697738350294776
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,11.0,12.0,Naive Estimator,UCB,10.576388888888891,1.0434356963218767
6519b6951e9a19f4b3d6f545,novice,watch play play,1,play,1,1,20.0,15.0,Hybrid Choice-Reward,UCB,0.15972222222222227,0.24988229283318544
6519b6951e9a19f4b3d6f545,novice,watch play play,2,play,1,1,17.0,20.0,Hybrid Choice-Reward,UCB,6.998263888888888,1.6152529693093274
