prolific_id,teacher_condition,block_condition,block_index,game_type,condition_index,condition_count_index,total_reward,human_total_reward,method,solver,choice_variance,choice_entropy,human_choice_entropy,human_choice_variance
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,12,19.0,Hybrid Choice-Reward,Thompson,13.159722222222221,2.610625918002233,1.4591479170272448,0.47222222222222215
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,17,13.0,Hybrid Choice-Reward,Thompson,10.998263888888891,1.7469152532855432,2.3028416701725316,3.2430555555555554
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,11,19.0,Hybrid Choice-Only,Thompson,12.416666666666666,2.4906015629507228,1.4591479170272448,0.47222222222222215
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,15,13.0,Hybrid Choice-Only,Thompson,12.401041666666666,2.9193721485946105,2.3028416701725316,3.2430555555555554
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,13,19.0,Naive Estimator,Thompson,4.826388888888888,2.532415628686154,1.4591479170272448,0.47222222222222215
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,20,13.0,Naive Estimator,Thompson,2.331597222222222,1.2908520829727552,2.3028416701725316,3.2430555555555554
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,11.0,15.0,Hybrid Choice-Reward,Thompson,17.854166666666668,3.1199100232740657,1.3248893422453545,1.1510416666666667
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,23.0,21.0,Hybrid Choice-Reward,Thompson,1.4375,0.24988229283318544,0.49715018363696706,0.9565972222222223
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,13.0,15.0,Hybrid Choice-Only,Thompson,16.401041666666668,3.0324156286861546,1.3248893422453545,1.1510416666666667
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,12.0,21.0,Hybrid Choice-Only,Thompson,17.08159722222222,1.7136037764193532,0.49715018363696706,0.9565972222222223
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,15.0,15.0,Naive Estimator,Thompson,11.743055555555555,2.9701755214643453,1.3248893422453545,1.1510416666666667
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,14.0,21.0,Naive Estimator,Thompson,11.909722222222223,1.8617022325423545,0.49715018363696706,0.9565972222222223
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,16.0,9.0,Hybrid Choice-Reward,Thompson,5.722222222222222,2.634602696255584,2.5943609377704333,6.1649305555555545
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,17.0,10.0,Hybrid Choice-Reward,Thompson,5.722222222222222,1.6344315043405981,2.1625056054120884,4.4375
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,15.0,9.0,Hybrid Choice-Only,Thompson,12.305555555555555,3.0110276044371,2.5943609377704333,6.1649305555555545
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,14.0,10.0,Hybrid Choice-Only,Thompson,8.805555555555555,2.3443609377704338,2.1625056054120884,4.4375
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,12.0,9.0,Naive Estimator,Thompson,8.706597222222221,3.438721875540867,2.5943609377704333,6.1649305555555545
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,15.0,10.0,Naive Estimator,Thompson,2.826388888888889,2.25,2.1625056054120884,4.4375
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,17,21.0,Hybrid Choice-Reward,Thompson,5.409722222222222,1.834962500721156,0.24988229283318544,0.039930555555555546
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,17,18.0,Hybrid Choice-Reward,Thompson,1.0555555555555558,0.49715018363696706,0.8886865525783176,0.2708333333333333
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,10,21.0,Hybrid Choice-Only,Thompson,7.831597222222221,2.8333333333333335,0.24988229283318544,0.039930555555555546
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,12,18.0,Hybrid Choice-Only,Thompson,9.972222222222221,2.583333333333333,0.8886865525783176,0.2708333333333333
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,15,21.0,Naive Estimator,Thompson,6.734375,2.7824156286861546,0.24988229283318544,0.039930555555555546
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,19,18.0,Naive Estimator,Thompson,3.222222222222222,1.176065103715944,0.8886865525783176,0.2708333333333333
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,12,15.0,Hybrid Choice-Reward,Thompson,10.692708333333334,2.484697002530877,1.8478548143998654,17.539930555555554
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,14,20.0,Hybrid Choice-Reward,Thompson,10.456597222222221,2.7295739585136225,0.24988229283318544,0.03993055555555555
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,13,15.0,Hybrid Choice-Only,Thompson,15.748263888888888,2.7201755214643453,1.8478548143998654,17.539930555555554
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,11,20.0,Hybrid Choice-Only,Thompson,12.706597222222221,2.919372148594611,0.24988229283318544,0.03993055555555555
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,16,15.0,Naive Estimator,Thompson,14.664930555555555,2.150022421648354,1.8478548143998654,17.539930555555554
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,16,20.0,Naive Estimator,Thompson,9.901041666666666,1.899124177322116,0.24988229283318544,0.03993055555555555
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,11,8.0,Hybrid Choice-Reward,Thompson,11.305555555555557,3.0341591278514217,2.1660563421790617,12.734375
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,15,12.0,Hybrid Choice-Reward,Thompson,9.055555555555555,2.667628649429343,1.6152529693093274,1.2065972222222223
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,15,8.0,Hybrid Choice-Only,Thompson,3.6927083333333335,2.2610276044371003,2.1660563421790617,12.734375
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,14,12.0,Hybrid Choice-Only,Thompson,10.222222222222221,2.6379185026711327,1.6152529693093274,1.2065972222222223
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,10,8.0,Naive Estimator,Thompson,8.151041666666666,2.6352130207431887,2.1660563421790617,12.734375
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,12,12.0,Naive Estimator,Thompson,10.956597222222221,2.668295834054489,1.6152529693093274,1.2065972222222223
6519b6951e9a19f4b3d6f545,novice,watch play play,1,play,1,1,20,15.0,Hybrid Choice-Reward,Thompson,14.289930555555557,1.850983694881109,0.9182958340544896,0.888888888888889
6519b6951e9a19f4b3d6f545,novice,watch play play,2,play,1,1,18,20.0,Hybrid Choice-Reward,Thompson,10.984375,2.100983694881109,0.41381685030363374,0.3055555555555555
6519b6951e9a19f4b3d6f545,novice,watch play play,1,play,1,1,14,15.0,Hybrid Choice-Only,Thompson,12.151041666666666,2.5477186261552776,0.9182958340544896,0.888888888888889
6519b6951e9a19f4b3d6f545,novice,watch play play,2,play,1,1,18,20.0,Hybrid Choice-Only,Thompson,8.354166666666666,1.7201755214643453,0.41381685030363374,0.3055555555555555
6519b6951e9a19f4b3d6f545,novice,watch play play,1,play,1,1,10,15.0,Naive Estimator,Thompson,8.373263888888888,3.002705481927944,0.9182958340544896,0.888888888888889
6519b6951e9a19f4b3d6f545,novice,watch play play,2,play,1,1,17,20.0,Naive Estimator,Thompson,8.854166666666666,2.2295739585136225,0.41381685030363374,0.3055555555555555
614f58258eaf7063aa888d90,novice,play watch play,0,play,1,1,13.0,16.0,Hybrid Choice-Reward,Thompson,11.984375,2.5518796874098553,2.245838938745422,8.276041666666666
614f58258eaf7063aa888d90,novice,play watch play,2,play,1,1,16.0,14.0,Hybrid Choice-Reward,Thompson,10.748263888888891,2.8699100232740657,2.160762106246821,8.539930555555555
614f58258eaf7063aa888d90,novice,play watch play,0,play,1,1,8.0,16.0,Hybrid Choice-Only,Thompson,10.123263888888888,3.1828173151210217,2.245838938745422,8.276041666666666
614f58258eaf7063aa888d90,novice,play watch play,2,play,1,1,17.0,14.0,Hybrid Choice-Only,Thompson,1.123263888888889,1.6117022325423545,2.160762106246821,8.539930555555555
614f58258eaf7063aa888d90,novice,play watch play,0,play,1,1,14.0,16.0,Naive Estimator,Thompson,15.4375,2.953243356607399,2.245838938745422,8.276041666666666
614f58258eaf7063aa888d90,novice,play watch play,2,play,1,1,12.0,14.0,Naive Estimator,Thompson,11.484375,2.840199876515855,2.160762106246821,8.539930555555555
5cb489ff0cd1ed0017465d19,novice,play watch play,0,play,0,0,10.0,17.0,Hybrid Choice-Reward,Thompson,16.248263888888886,3.209147917027245,0.7416847557897408,0.24305555555555558
5cb489ff0cd1ed0017465d19,novice,play watch play,2,play,0,0,16.0,18.0,Hybrid Choice-Reward,Thompson,14.222222222222221,2.4508257945180882,0.7382848661434506,1.484375
5cb489ff0cd1ed0017465d19,novice,play watch play,0,play,0,0,10.0,17.0,Hybrid Choice-Only,Thompson,14.638888888888888,3.177694271103767,0.7416847557897408,0.24305555555555558
5cb489ff0cd1ed0017465d19,novice,play watch play,2,play,0,0,15.0,18.0,Hybrid Choice-Only,Thompson,12.248263888888891,2.4125056054120884,0.7382848661434506,1.484375
5cb489ff0cd1ed0017465d19,novice,play watch play,0,play,0,0,14.0,17.0,Naive Estimator,Thompson,14.164930555555555,3.355388542207534,0.7416847557897408,0.24305555555555558
5cb489ff0cd1ed0017465d19,novice,play watch play,2,play,0,0,14.0,18.0,Naive Estimator,Thompson,13.776041666666666,2.9193721485946105,0.7382848661434506,1.484375
5be084ec4c397b0001ec3567,expert,watch play play,1,play,0,0,20,19.0,Hybrid Choice-Reward,Thompson,4.581597222222222,0.7416847557897409,-0.0,0.0
5be084ec4c397b0001ec3567,expert,watch play play,2,play,0,0,15,21.0,Hybrid Choice-Reward,Thompson,5.123263888888889,1.4082226755786877,-0.0,0.0
5be084ec4c397b0001ec3567,expert,watch play play,1,play,0,0,14,19.0,Hybrid Choice-Only,Thompson,5.956597222222222,1.6368421881310118,-0.0,0.0
5be084ec4c397b0001ec3567,expert,watch play play,2,play,0,0,16,21.0,Hybrid Choice-Only,Thompson,6.770833333333333,1.603759374819711,-0.0,0.0
5be084ec4c397b0001ec3567,expert,watch play play,1,play,0,0,23,19.0,Naive Estimator,Thompson,5.317708333333333,1.5016291673878228,-0.0,0.0
5be084ec4c397b0001ec3567,expert,watch play play,2,play,0,0,15,21.0,Naive Estimator,Thompson,1.5763888888888886,1.3741854163060885,-0.0,0.0
633c7424294f7a26710ca395,novice,watch play play,1,play,0,0,14,20.0,Hybrid Choice-Reward,Thompson,17.666666666666668,2.767894147619622,-0.0,0.0
633c7424294f7a26710ca395,novice,watch play play,2,play,0,0,12,18.0,Hybrid Choice-Reward,Thompson,13.083333333333334,3.084962500721156,-0.0,0.0
633c7424294f7a26710ca395,novice,watch play play,1,play,0,0,14,20.0,Hybrid Choice-Only,Thompson,15.581597222222223,2.215347275584621,-0.0,0.0
633c7424294f7a26710ca395,novice,watch play play,2,play,0,0,13,18.0,Hybrid Choice-Only,Thompson,11.526041666666666,2.396240625180289,-0.0,0.0
633c7424294f7a26710ca395,novice,watch play play,1,play,0,0,14,20.0,Naive Estimator,Thompson,12.305555555555555,1.751629167387823,-0.0,0.0
633c7424294f7a26710ca395,novice,watch play play,2,play,0,0,15,18.0,Naive Estimator,Thompson,13.081597222222221,1.9764892117991655,-0.0,0.0
5bfff7c02213be0001c2c7cf,expert,watch play play,1,play,1,1,17,20.0,Hybrid Choice-Reward,Thompson,11.373263888888891,1.408222675578688,-0.0,0.0
5bfff7c02213be0001c2c7cf,expert,watch play play,2,play,1,1,16,20.0,Hybrid Choice-Reward,Thompson,13.972222222222223,1.8617022325423542,-0.0,0.0
5bfff7c02213be0001c2c7cf,expert,watch play play,1,play,1,1,16,20.0,Hybrid Choice-Only,Thompson,13.055555555555557,1.8617022325423545,-0.0,0.0
5bfff7c02213be0001c2c7cf,expert,watch play play,2,play,1,1,21,20.0,Hybrid Choice-Only,Thompson,0.19270833333333334,0.49715018363696706,-0.0,0.0
5bfff7c02213be0001c2c7cf,expert,watch play play,1,play,1,1,15,20.0,Naive Estimator,Thompson,11.581597222222223,2.5512693629222505,-0.0,0.0
5bfff7c02213be0001c2c7cf,expert,watch play play,2,play,1,1,9,20.0,Naive Estimator,Thompson,12.456597222222221,2.4906015629507228,-0.0,0.0
5b27ef8a7f7816000146499f,novice,play watch play,0,play,0,0,9.0,11.0,Hybrid Choice-Reward,Thompson,10.692708333333334,3.292481250360578,0.24988229283318544,0.03993055555555556
5b27ef8a7f7816000146499f,novice,play watch play,2,play,0,0,13.0,22.0,Hybrid Choice-Reward,Thompson,8.326388888888888,2.7195083368391986,-0.0,0.0
5b27ef8a7f7816000146499f,novice,play watch play,0,play,0,0,8.0,11.0,Hybrid Choice-Only,Thompson,11.123263888888888,3.292481250360578,0.24988229283318544,0.03993055555555556
5b27ef8a7f7816000146499f,novice,play watch play,2,play,0,0,20.0,22.0,Hybrid Choice-Only,Thompson,1.109375,1.1386865525783176,-0.0,0.0
5b27ef8a7f7816000146499f,novice,play watch play,0,play,0,0,15.0,11.0,Naive Estimator,Thompson,9.414930555555555,2.2610276044371,0.24988229283318544,0.03993055555555556
5b27ef8a7f7816000146499f,novice,play watch play,2,play,0,0,16.0,22.0,Naive Estimator,Thompson,9.659722222222221,2.667628649429343,-0.0,0.0
5ff797c6f67a7d494f65298e,novice,play watch play,0,play,1,1,11.0,15.0,Hybrid Choice-Reward,Thompson,10.888888888888888,3.1216535224393334,2.9193721485946105,8.831597222222221
5ff797c6f67a7d494f65298e,novice,play watch play,2,play,1,1,16.0,13.0,Hybrid Choice-Reward,Thompson,5.805555555555556,2.4993896755123948,2.8443609377704338,4.243055555555555
5ff797c6f67a7d494f65298e,novice,play watch play,0,play,1,1,12.0,15.0,Hybrid Choice-Only,Thompson,8.770833333333334,3.292481250360578,2.9193721485946105,8.831597222222221
5ff797c6f67a7d494f65298e,novice,play watch play,2,play,1,1,12.0,13.0,Hybrid Choice-Only,Thompson,6.576388888888888,2.823934896284056,2.8443609377704338,4.243055555555555
5ff797c6f67a7d494f65298e,novice,play watch play,0,play,1,1,14.0,15.0,Naive Estimator,Thompson,10.206597222222223,3.2516291673878226,2.9193721485946105,8.831597222222221
5ff797c6f67a7d494f65298e,novice,play watch play,2,play,1,1,22.0,13.0,Naive Estimator,Thompson,1.638888888888889,0.8166890883150209,2.8443609377704338,4.243055555555555
616d6463aa6ae2ee832b3804,novice,watch play play,1,play,0,0,8,21.0,Hybrid Choice-Reward,Thompson,16.555555555555557,3.0535088547976783,-0.0,0.0
616d6463aa6ae2ee832b3804,novice,watch play play,2,play,0,0,14,19.0,Hybrid Choice-Reward,Thompson,10.914930555555557,2.979573958513622,-0.0,0.0
616d6463aa6ae2ee832b3804,novice,watch play play,1,play,0,0,10,21.0,Hybrid Choice-Only,Thompson,13.25,3.105388542207534,-0.0,0.0
616d6463aa6ae2ee832b3804,novice,watch play play,2,play,0,0,14,19.0,Hybrid Choice-Only,Thompson,16.63888888888889,2.2610276044371,-0.0,0.0
616d6463aa6ae2ee832b3804,novice,watch play play,1,play,0,0,19,21.0,Naive Estimator,Thompson,9.651041666666666,2.217090774749888,-0.0,0.0
616d6463aa6ae2ee832b3804,novice,watch play play,2,play,0,0,13,19.0,Naive Estimator,Thompson,13.409722222222221,2.300424108083221,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,0,play,2,1,13.0,21.0,Hybrid Choice-Reward,Thompson,14.914930555555555,3.236440501696144,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,1,play,2,1,21.0,23.0,Hybrid Choice-Reward,Thompson,16.24826388888889,1.3512274809529559,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,2,play,2,1,18.0,19.0,Hybrid Choice-Reward,Thompson,16.067708333333332,1.6368421881310116,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,0,play,2,1,18.0,21.0,Hybrid Choice-Only,Thompson,14.326388888888891,2.7551230440172545,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,1,play,2,1,15.0,23.0,Hybrid Choice-Only,Thompson,17.151041666666668,2.8699100232740657,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,2,play,2,1,21.0,19.0,Hybrid Choice-Only,Thompson,16.109375,1.778368899209021,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,0,play,2,1,14.0,21.0,Naive Estimator,Thompson,12.123263888888891,3.3035088547976783,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,1,play,2,1,14.0,23.0,Naive Estimator,Thompson,14.9375,2.6693721485946105,-0.0,0.0
581d50e882c5aa000132ce4f,no teacher,play play play,2,play,2,1,12.0,19.0,Naive Estimator,Thompson,18.743055555555557,2.4864405016961446,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,0,play,3,0,9.0,11.0,Hybrid Choice-Reward,Thompson,11.748263888888888,3.340199876515855,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,1,play,3,0,16.0,9.0,Hybrid Choice-Reward,Thompson,20.456597222222225,2.410762106246821,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,2,play,3,0,21.0,16.0,Hybrid Choice-Reward,Thompson,16.493055555555554,0.7382848661434506,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,0,play,3,0,13.0,11.0,Hybrid Choice-Only,Thompson,15.638888888888888,3.0324156286861546,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,1,play,3,0,15.0,9.0,Hybrid Choice-Only,Thompson,13.47222222222222,2.080557653394731,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,2,play,3,0,15.0,16.0,Hybrid Choice-Only,Thompson,15.388888888888891,1.778368899209021,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,0,play,3,0,13.0,11.0,Naive Estimator,Thompson,14.104166666666666,2.867492461184755,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,1,play,3,0,18.0,9.0,Naive Estimator,Thompson,20.87326388888889,2.0272925846688996,-0.0,0.0
61183a3a63c62d933e60d5bf,no teacher,play play play,2,play,3,0,19.0,16.0,Naive Estimator,Thompson,11.081597222222221,1.523009654835499,-0.0,0.0
65ae75ddcc163b8e8b23d45b,novice,watch play play,1,play,0,0,16,14.0,Hybrid Choice-Reward,Thompson,7.748263888888888,2.542481250360578,1.4284124677945966,2.2899305555555554
65ae75ddcc163b8e8b23d45b,novice,watch play play,2,play,0,0,23,8.0,Hybrid Choice-Reward,Thompson,0.0,-0.0,3.2406015629507228,7.956597222222222
65ae75ddcc163b8e8b23d45b,novice,watch play play,1,play,0,0,10,14.0,Hybrid Choice-Only,Thompson,11.083333333333334,2.9754128972590443,1.4284124677945966,2.2899305555555554
65ae75ddcc163b8e8b23d45b,novice,watch play play,2,play,0,0,13,8.0,Hybrid Choice-Only,Thompson,11.067708333333334,3.0068665431825217,3.2406015629507228,7.956597222222222
65ae75ddcc163b8e8b23d45b,novice,watch play play,1,play,0,0,12,14.0,Naive Estimator,Thompson,9.104166666666666,2.907268229617389,1.4284124677945966,2.2899305555555554
65ae75ddcc163b8e8b23d45b,novice,watch play play,2,play,0,0,13,8.0,Naive Estimator,Thompson,13.331597222222223,2.669372148594611,3.2406015629507228,7.956597222222222
6473bd2d95a488b826bc24c4,expert,play watch play,0,play,0,0,13.0,11.0,Hybrid Choice-Reward,Thompson,7.692708333333333,3.1199100232740657,0.9737837298712214,2.5815972222222228
6473bd2d95a488b826bc24c4,expert,play watch play,2,play,0,0,19.0,20.0,Hybrid Choice-Reward,Thompson,1.7065972222222223,0.49715018363696706,-0.0,0.0
6473bd2d95a488b826bc24c4,expert,play watch play,0,play,0,0,12.0,11.0,Hybrid Choice-Only,Thompson,11.817708333333334,3.319773835029478,0.9737837298712214,2.5815972222222228
6473bd2d95a488b826bc24c4,expert,play watch play,2,play,0,0,22.0,20.0,Hybrid Choice-Only,Thompson,0.0,-0.0,-0.0,0.0
