prolific_id,teacher_condition,block_condition,block_index,game_type,condition_index,condition_count_index,total_reward,human_total_reward,method,solver,choice_variance,choice_entropy
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,8,19.0,Hybrid Choice-Reward,Thompson,11.914930555555555,2.984697002530877
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,10,13.0,Hybrid Choice-Reward,Thompson,14.888888888888891,2.3489879890775276
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,13,19.0,Hybrid Choice-Only,Thompson,12.743055555555555,2.573934896284056
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,22,13.0,Hybrid Choice-Only,Thompson,0.576388888888889,0.7416847557897409
5f8486766d8e7b0f17df0206,novice,watch play play,1,play,0,0,13,19.0,Naive Estimator,Thompson,7.083333333333333,2.5198157169987727
5f8486766d8e7b0f17df0206,novice,watch play play,2,play,0,0,20,13.0,Naive Estimator,Thompson,1.722222222222222,1.408222675578688
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,13.0,15.0,Hybrid Choice-Reward,Thompson,14.526041666666666,3.288320189106
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,20.0,21.0,Hybrid Choice-Reward,Thompson,2.3315972222222223,0.49715018363696706
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,12.0,15.0,Hybrid Choice-Only,Thompson,14.409722222222223,3.355388542207534
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,12.0,21.0,Hybrid Choice-Only,Thompson,10.484375,2.0943609377704338
5e38e79295ff561112eae457,novice,play watch play,0,play,1,1,10.0,15.0,Naive Estimator,Thompson,10.914930555555557,3.1216535224393334
5e38e79295ff561112eae457,novice,play watch play,2,play,1,1,18.0,21.0,Naive Estimator,Thompson,8.817708333333334,1.2908520829727552
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,15.0,9.0,Hybrid Choice-Reward,Thompson,3.5833333333333335,2.617492461184755
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,14.0,10.0,Hybrid Choice-Reward,Thompson,6.206597222222221,2.6053885422075336
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,11.0,9.0,Hybrid Choice-Only,Thompson,9.248263888888888,3.0901998765158556
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,7.0,10.0,Hybrid Choice-Only,Thompson,4.526041666666667,2.146240625180289
65a886d80279e6d71af87e7b,novice,play watch play,0,play,1,1,12.0,9.0,Naive Estimator,Thompson,11.055555555555555,2.9397981900809884
65a886d80279e6d71af87e7b,novice,play watch play,2,play,1,1,19.0,10.0,Naive Estimator,Thompson,2.0,0.9737837298712214
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,14,21.0,Hybrid Choice-Reward,Thompson,4.416666666666667,1.8098225451324987
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,19,18.0,Hybrid Choice-Reward,Thompson,4.305555555555556,0.9833557549816874
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,14,21.0,Hybrid Choice-Only,Thompson,7.4149305555555545,2.667628649429343
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,12,18.0,Hybrid Choice-Only,Thompson,6.984375,2.927694271103767
5ea3694d838a642e5790ec0a,novice,watch play play,1,play,0,0,16,21.0,Naive Estimator,Thompson,1.9149305555555556,1.815368987703053
5ea3694d838a642e5790ec0a,novice,watch play play,2,play,0,0,15,18.0,Naive Estimator,Thompson,2.9982638888888893,1.8098225451324992
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,14,15.0,Hybrid Choice-Reward,Thompson,11.055555555555555,2.383757441416555
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,13,20.0,Hybrid Choice-Reward,Thompson,5.984375,2.2959751269900104
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,13,15.0,Hybrid Choice-Only,Thompson,13.414930555555557,2.833333333333333
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,12,20.0,Hybrid Choice-Only,Thompson,14.993055555555555,2.8035088547976783
5e147a28de8da6a8f013acf6,novice,watch play play,1,play,1,1,18,15.0,Naive Estimator,Thompson,13.817708333333334,2.4864405016961446
5e147a28de8da6a8f013acf6,novice,watch play play,2,play,1,1,17,20.0,Naive Estimator,Thompson,12.333333333333334,1.5220552088742005
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,17,8.0,Hybrid Choice-Reward,Thompson,3.4565972222222228,2.0629072918469555
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,17,12.0,Hybrid Choice-Reward,Thompson,1.2760416666666667,1.2220198859116511
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,14,8.0,Hybrid Choice-Only,Thompson,6.526041666666667,2.197338796187554
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,18,12.0,Hybrid Choice-Only,Thompson,3.576388888888889,1.290852082972755
60d912ea081d95b4faa5ba51,novice,watch play play,1,play,1,1,14,8.0,Naive Estimator,Thompson,12.659722222222221,2.954986855772667
60d912ea081d95b4faa5ba51,novice,watch play play,2,play,1,1,18,12.0,Naive Estimator,Thompson,6.067708333333333,1.408222675578688
6519b6951e9a19f4b3d6f545,novice,watch play play,1,play,1,1,15,15.0,Hybrid Choice-Reward,Thompson,11.664930555555555,2.163890986728065
6519b6951e9a19f4b3d6f545,novice,watch play play,2,play,1,1,18,20.0,Hybrid Choice-Reward,Thompson,7.6649305555555545,1.2220198859116511
6519b6951e9a19f4b3d6f545,novice,watch play play,1,play,1,1,16,15.0,Hybrid Choice-Only,Thompson,11.206597222222221,2.9176286494293433
6519b6951e9a19f4b3d6f545,novice,watch play play,2,play,1,1,17,20.0,Hybrid Choice-Only,Thompson,14.248263888888891,1.9764892117991653
6519b6951e9a19f4b3d6f545,novice,watch play play,1,play,1,1,15,15.0,Naive Estimator,Thompson,9.456597222222223,2.0134893002931977
6519b6951e9a19f4b3d6f545,novice,watch play play,2,play,1,1,12,20.0,Naive Estimator,Thompson,7.026041666666667,2.469508336839199
614f58258eaf7063aa888d90,novice,play watch play,0,play,1,1,14.0,16.0,Hybrid Choice-Reward,Thompson,10.243055555555555,3.088456377350588
614f58258eaf7063aa888d90,novice,play watch play,2,play,1,1,22.0,14.0,Hybrid Choice-Reward,Thompson,6.942708333333333,1.8472444899122604
614f58258eaf7063aa888d90,novice,play watch play,0,play,1,1,11.0,16.0,Hybrid Choice-Only,Thompson,12.659722222222221,3.184560814286289
614f58258eaf7063aa888d90,novice,play watch play,2,play,1,1,13.0,14.0,Hybrid Choice-Only,Thompson,10.859375,2.436482383665439
614f58258eaf7063aa888d90,novice,play watch play,0,play,1,1,10.0,16.0,Naive Estimator,Thompson,15.576388888888888,3.117492461184755
614f58258eaf7063aa888d90,novice,play watch play,2,play,1,1,11.0,14.0,Naive Estimator,Thompson,7.916666666666667,2.970175521464345
5cb489ff0cd1ed0017465d19,novice,play watch play,0,play,0,0,12.0,17.0,Hybrid Choice-Reward,Thompson,10.722222222222223,3.438721875540867
5cb489ff0cd1ed0017465d19,novice,play watch play,2,play,0,0,13.0,18.0,Hybrid Choice-Reward,Thompson,11.555555555555557,3.0545851693377997
