teacher_condition,block_condition,condition_index,condition_count_index,human_play_reward_1,human_play_reward_2,human_play_reward_3,model_play_reward_1,model_play_reward_2,model_play_reward_3,method,trial
expert,watch play play,0,0,18.0,7.0,,16,10,,Thompson-Lesion,5f0963c6310eaf000b922e94
expert,watch play play,0,0,18.0,7.0,,13,13,,Thompson-Naive,5f0963c6310eaf000b922e94
expert,watch play play,0,0,18.0,7.0,,21,22,,Thompson-Predict,5f0963c6310eaf000b922e94
no teacher,play play play,1,0,18.0,11.0,10.0,15.0,17.0,19.0,Thompson-Lesion,659d55bdaf21e817bc9a6a2a
no teacher,play play play,1,0,18.0,11.0,10.0,11.0,11.0,15.0,Thompson-Naive,659d55bdaf21e817bc9a6a2a
no teacher,play play play,1,0,18.0,11.0,10.0,13.0,16.0,9.0,Thompson-Predict,659d55bdaf21e817bc9a6a2a
no teacher,play play play,0,1,16.0,19.0,14.0,11.0,16.0,16.0,Thompson-Lesion,5ff797c6f67a7d494f65298e
no teacher,play play play,0,1,16.0,19.0,14.0,9.0,14.0,16.0,Thompson-Naive,5ff797c6f67a7d494f65298e
no teacher,play play play,0,1,16.0,19.0,14.0,13.0,12.0,20.0,Thompson-Predict,5ff797c6f67a7d494f65298e
no teacher,play play play,3,1,7.0,13.0,11.0,5.0,18.0,20.0,Thompson-Lesion,61183a3a63c62d933e60d5bf
no teacher,play play play,3,1,7.0,13.0,11.0,12.0,10.0,21.0,Thompson-Naive,61183a3a63c62d933e60d5bf
no teacher,play play play,3,1,7.0,13.0,11.0,6.0,16.0,19.0,Thompson-Predict,61183a3a63c62d933e60d5bf
novice,watch play play,1,1,5.0,12.0,,11,20,,Thompson-Lesion,60fca6d058e4c2affb22d206
novice,watch play play,1,1,5.0,12.0,,15,7,,Thompson-Naive,60fca6d058e4c2affb22d206
novice,watch play play,1,1,5.0,12.0,,16,14,,Thompson-Predict,60fca6d058e4c2affb22d206
no teacher,play play play,2,1,9.0,12.0,7.0,13.0,16.0,16.0,Thompson-Lesion,5bf289cc17a7de0001cf52f0
no teacher,play play play,2,1,9.0,12.0,7.0,11.0,19.0,20.0,Thompson-Naive,5bf289cc17a7de0001cf52f0
no teacher,play play play,2,1,9.0,12.0,7.0,12.0,18.0,16.0,Thompson-Predict,5bf289cc17a7de0001cf52f0
expert,watch play play,0,0,22.0,20.0,,16,17,,Thompson-Lesion,5bd283469afb5b00015bdd5a
expert,watch play play,0,0,22.0,20.0,,14,16,,Thompson-Naive,5bd283469afb5b00015bdd5a
expert,watch play play,0,0,22.0,20.0,,16,17,,Thompson-Predict,5bd283469afb5b00015bdd5a
novice,play watch play,1,1,13.0,19.0,,16.0,15.0,,Thompson-Lesion,6111a1893c0daa13e23ab15a
novice,play watch play,1,1,13.0,19.0,,10.0,10.0,,Thompson-Naive,6111a1893c0daa13e23ab15a
novice,play watch play,1,1,13.0,19.0,,12.0,9.0,,Thompson-Predict,6111a1893c0daa13e23ab15a
novice,watch play play,1,1,20.0,20.0,,21,19,,Thompson-Lesion,5b33034d975e260001e981c9
novice,watch play play,1,1,20.0,20.0,,13,10,,Thompson-Naive,5b33034d975e260001e981c9
novice,watch play play,1,1,20.0,20.0,,17,13,,Thompson-Predict,5b33034d975e260001e981c9
expert,play watch play,0,0,9.0,21.0,,12.0,18.0,,Thompson-Lesion,5e8cf43fbf65bf0bdfe15296
expert,play watch play,0,0,9.0,21.0,,14.0,21.0,,Thompson-Naive,5e8cf43fbf65bf0bdfe15296
expert,play watch play,0,0,9.0,21.0,,10.0,21.0,,Thompson-Predict,5e8cf43fbf65bf0bdfe15296
expert,play watch play,1,1,16.0,22.0,,10.0,22.0,,Thompson-Lesion,5c48189592909000016862e7
expert,play watch play,1,1,16.0,22.0,,15.0,16.0,,Thompson-Naive,5c48189592909000016862e7
expert,play watch play,1,1,16.0,22.0,,14.0,20.0,,Thompson-Predict,5c48189592909000016862e7
novice,play watch play,0,0,12.0,14.0,,14.0,19.0,,Thompson-Lesion,60fca6d058e4c2affb22d206
novice,play watch play,0,0,12.0,14.0,,10.0,13.0,,Thompson-Naive,60fca6d058e4c2affb22d206
novice,play watch play,0,0,12.0,14.0,,10.0,17.0,,Thompson-Predict,60fca6d058e4c2affb22d206
expert,play watch play,1,1,19.0,22.0,,15.0,22.0,,Thompson-Lesion,650868d5afd62c7980c24f67
expert,play watch play,1,1,19.0,22.0,,12.0,19.0,,Thompson-Naive,650868d5afd62c7980c24f67
expert,play watch play,1,1,19.0,22.0,,10.0,19.0,,Thompson-Predict,650868d5afd62c7980c24f67
novice,play watch play,1,1,16.0,8.0,,12.0,13.0,,Thompson-Lesion,5c35ad4bdb7cf60001204af9
novice,play watch play,1,1,16.0,8.0,,13.0,18.0,,Thompson-Naive,5c35ad4bdb7cf60001204af9
novice,play watch play,1,1,16.0,8.0,,15.0,16.0,,Thompson-Predict,5c35ad4bdb7cf60001204af9
expert,play watch play,1,1,7.0,4.0,,13.0,19.0,,Thompson-Lesion,5bf4d3e01a71ac0001208301
expert,play watch play,1,1,7.0,4.0,,14.0,14.0,,Thompson-Naive,5bf4d3e01a71ac0001208301
expert,play watch play,1,1,7.0,4.0,,13.0,17.0,,Thompson-Predict,5bf4d3e01a71ac0001208301
no teacher,play play play,3,0,11.0,11.0,17.0,16.0,20.0,13.0,Thompson-Lesion,5c4353086ce36f0001205f65
no teacher,play play play,3,0,11.0,11.0,17.0,16.0,11.0,17.0,Thompson-Naive,5c4353086ce36f0001205f65
no teacher,play play play,3,0,11.0,11.0,17.0,13.0,14.0,20.0,Thompson-Predict,5c4353086ce36f0001205f65
novice,play watch play,1,1,16.0,22.0,,13.0,12.0,,Thompson-Lesion,6519b6951e9a19f4b3d6f545
novice,play watch play,1,1,16.0,22.0,,15.0,14.0,,Thompson-Naive,6519b6951e9a19f4b3d6f545
novice,play watch play,1,1,16.0,22.0,,11.0,22.0,,Thompson-Predict,6519b6951e9a19f4b3d6f545
expert,play watch play,1,1,11.0,17.0,,12.0,18.0,,Thompson-Lesion,63ddc6baab6a2130b8a41bf7
expert,play watch play,1,1,11.0,17.0,,11.0,20.0,,Thompson-Naive,63ddc6baab6a2130b8a41bf7
expert,play watch play,1,1,11.0,17.0,,15.0,18.0,,Thompson-Predict,63ddc6baab6a2130b8a41bf7
novice,watch play play,0,0,21.0,12.0,,15,15,,Thompson-Lesion,62b1ed31eaaaa61b18c69032
novice,watch play play,0,0,21.0,12.0,,17,12,,Thompson-Naive,62b1ed31eaaaa61b18c69032
novice,watch play play,0,0,21.0,12.0,,13,15,,Thompson-Predict,62b1ed31eaaaa61b18c69032
expert,watch play play,0,0,18.0,20.0,,16,15,,Thompson-Lesion,650868d5afd62c7980c24f67
expert,watch play play,0,0,18.0,20.0,,15,16,,Thompson-Naive,650868d5afd62c7980c24f67
expert,watch play play,0,0,18.0,20.0,,19,22,,Thompson-Predict,650868d5afd62c7980c24f67
expert,play watch play,0,0,8.0,19.0,,13.0,20.0,,Thompson-Lesion,577d11f88b3e2300016d74a0
expert,play watch play,0,0,8.0,19.0,,11.0,13.0,,Thompson-Naive,577d11f88b3e2300016d74a0
expert,play watch play,0,0,8.0,19.0,,13.0,20.0,,Thompson-Predict,577d11f88b3e2300016d74a0
expert,watch play play,1,1,17.0,4.0,,10,7,,Thompson-Lesion,5bf4d3e01a71ac0001208301
expert,watch play play,1,1,17.0,4.0,,10,16,,Thompson-Naive,5bf4d3e01a71ac0001208301
expert,watch play play,1,1,17.0,4.0,,12,12,,Thompson-Predict,5bf4d3e01a71ac0001208301
novice,play watch play,1,1,11.0,18.0,,14.0,16.0,,Thompson-Lesion,60ff346f3f035109a4a49a5c
novice,play watch play,1,1,11.0,18.0,,16.0,17.0,,Thompson-Naive,60ff346f3f035109a4a49a5c
novice,play watch play,1,1,11.0,18.0,,12.0,16.0,,Thompson-Predict,60ff346f3f035109a4a49a5c
