teacher_condition,block_condition,condition_index,condition_count_index,human_play_reward_1,human_play_reward_2,human_play_reward_3,model_play_reward_1,model_play_reward_2,model_play_reward_3,method,trial
no teacher,play play play,3,1,14.0,9.0,13.0,8.0,11.0,15.0,Thompson-Lesion,61118e9a32395df5867ce217
no teacher,play play play,3,1,14.0,9.0,13.0,15.0,15.0,13.0,Thompson-Naive,61118e9a32395df5867ce217
no teacher,play play play,3,1,14.0,9.0,13.0,12.0,13.0,17.0,Thompson-Predict,61118e9a32395df5867ce217
novice,watch play play,0,0,10.0,10.0,,11,15,,Thompson-Lesion,606575435e519decf2dd36e3
novice,watch play play,0,0,10.0,10.0,,14,21,,Thompson-Naive,606575435e519decf2dd36e3
novice,watch play play,0,0,10.0,10.0,,12,19,,Thompson-Predict,606575435e519decf2dd36e3
no teacher,play play play,2,1,14.0,13.0,18.0,14.0,9.0,19.0,Thompson-Lesion,61005b49f8382e2e24f00ef0
no teacher,play play play,2,1,14.0,13.0,18.0,10.0,11.0,16.0,Thompson-Naive,61005b49f8382e2e24f00ef0
no teacher,play play play,2,1,14.0,13.0,18.0,14.0,14.0,10.0,Thompson-Predict,61005b49f8382e2e24f00ef0
novice,watch play play,1,1,18.0,21.0,,12,16,,Thompson-Lesion,5f4a68e4d8963d5e469541f1
novice,watch play play,1,1,18.0,21.0,,12,13,,Thompson-Naive,5f4a68e4d8963d5e469541f1
novice,watch play play,1,1,18.0,21.0,,15,16,,Thompson-Predict,5f4a68e4d8963d5e469541f1
no teacher,play play play,0,1,12.0,12.0,12.0,12.0,17.0,20.0,Thompson-Lesion,611f1751f8fd84c3ba826634
no teacher,play play play,0,1,12.0,12.0,12.0,13.0,17.0,19.0,Thompson-Naive,611f1751f8fd84c3ba826634
no teacher,play play play,0,1,12.0,12.0,12.0,17.0,19.0,15.0,Thompson-Predict,611f1751f8fd84c3ba826634
no teacher,play play play,2,1,13.0,14.0,12.0,12.0,16.0,17.0,Thompson-Lesion,60f2a2b4932fed5326988e0f
no teacher,play play play,2,1,13.0,14.0,12.0,13.0,15.0,20.0,Thompson-Naive,60f2a2b4932fed5326988e0f
no teacher,play play play,2,1,13.0,14.0,12.0,14.0,16.0,13.0,Thompson-Predict,60f2a2b4932fed5326988e0f
expert,watch play play,0,0,12.0,13.0,,15,15,,Thompson-Lesion,65982731eb34299993506e21
expert,watch play play,0,0,12.0,13.0,,13,20,,Thompson-Naive,65982731eb34299993506e21
expert,watch play play,0,0,12.0,13.0,,18,20,,Thompson-Predict,65982731eb34299993506e21
expert,watch play play,1,1,23.0,23.0,,16,20,,Thompson-Lesion,63d3fbb451ad7ba5c2f30246
expert,watch play play,1,1,23.0,23.0,,15,18,,Thompson-Naive,63d3fbb451ad7ba5c2f30246
expert,watch play play,1,1,23.0,23.0,,17,11,,Thompson-Predict,63d3fbb451ad7ba5c2f30246
novice,play watch play,0,0,14.0,19.0,,10.0,11.0,,Thompson-Lesion,5f0963c6310eaf000b922e94
novice,play watch play,0,0,14.0,19.0,,14.0,14.0,,Thompson-Naive,5f0963c6310eaf000b922e94
novice,play watch play,0,0,14.0,19.0,,12.0,18.0,,Thompson-Predict,5f0963c6310eaf000b922e94
expert,play watch play,1,1,15.0,16.0,,10.0,15.0,,Thompson-Lesion,612274842d4805447451f87b
expert,play watch play,1,1,15.0,16.0,,14.0,16.0,,Thompson-Naive,612274842d4805447451f87b
expert,play watch play,1,1,15.0,16.0,,13.0,18.0,,Thompson-Predict,612274842d4805447451f87b
novice,watch play play,1,1,23.0,23.0,,11,15,,Thompson-Lesion,60fe09e20ce118843ca6bcd0
novice,watch play play,1,1,23.0,23.0,,21,15,,Thompson-Naive,60fe09e20ce118843ca6bcd0
novice,watch play play,1,1,23.0,23.0,,14,13,,Thompson-Predict,60fe09e20ce118843ca6bcd0
expert,play watch play,0,0,15.0,18.0,,11.0,20.0,,Thompson-Lesion,5df416a57bf5722f9a501255
expert,play watch play,0,0,15.0,18.0,,9.0,15.0,,Thompson-Naive,5df416a57bf5722f9a501255
expert,play watch play,0,0,15.0,18.0,,11.0,18.0,,Thompson-Predict,5df416a57bf5722f9a501255
novice,watch play play,0,0,19.0,13.0,,13,12,,Thompson-Lesion,5d1555fe628de0001966c2fa
novice,watch play play,0,0,19.0,13.0,,18,13,,Thompson-Naive,5d1555fe628de0001966c2fa
novice,watch play play,0,0,19.0,13.0,,12,12,,Thompson-Predict,5d1555fe628de0001966c2fa
novice,watch play play,0,0,13.0,14.0,,8,17,,Thompson-Lesion,5efcaaee74e56207d16db007
novice,watch play play,0,0,13.0,14.0,,14,15,,Thompson-Naive,5efcaaee74e56207d16db007
novice,watch play play,0,0,13.0,14.0,,8,15,,Thompson-Predict,5efcaaee74e56207d16db007
expert,watch play play,0,0,12.0,15.0,,19,18,,Thompson-Lesion,5f87d9bfc31a1322cfc32cbd
expert,watch play play,0,0,12.0,15.0,,12,11,,Thompson-Naive,5f87d9bfc31a1322cfc32cbd
expert,watch play play,0,0,12.0,15.0,,16,17,,Thompson-Predict,5f87d9bfc31a1322cfc32cbd
novice,play watch play,0,0,16.0,13.0,,14.0,16.0,,Thompson-Lesion,631ab79e8635a1df26319958
novice,play watch play,0,0,16.0,13.0,,12.0,18.0,,Thompson-Naive,631ab79e8635a1df26319958
novice,play watch play,0,0,16.0,13.0,,17.0,16.0,,Thompson-Predict,631ab79e8635a1df26319958
no teacher,play play play,2,1,16.0,13.0,12.0,11.0,17.0,15.0,Thompson-Lesion,63ea7487c993eddd00c8ab47
no teacher,play play play,2,1,16.0,13.0,12.0,11.0,21.0,21.0,Thompson-Naive,63ea7487c993eddd00c8ab47
no teacher,play play play,2,1,16.0,13.0,12.0,9.0,15.0,16.0,Thompson-Predict,63ea7487c993eddd00c8ab47
expert,play watch play,0,0,9.0,20.0,,8.0,19.0,,Thompson-Lesion,5bfff7c02213be0001c2c7cf
expert,play watch play,0,0,9.0,20.0,,11.0,17.0,,Thompson-Naive,5bfff7c02213be0001c2c7cf
expert,play watch play,0,0,9.0,20.0,,13.0,17.0,,Thompson-Predict,5bfff7c02213be0001c2c7cf
novice,play watch play,0,0,13.0,13.0,,10.0,16.0,,Thompson-Lesion,5ab7c19e1667e40001d7cd93
novice,play watch play,0,0,13.0,13.0,,17.0,13.0,,Thompson-Naive,5ab7c19e1667e40001d7cd93
novice,play watch play,0,0,13.0,13.0,,14.0,11.0,,Thompson-Predict,5ab7c19e1667e40001d7cd93
expert,play watch play,1,1,10.0,19.0,,9.0,16.0,,Thompson-Lesion,5ae3a41d32ef52000131a531
expert,play watch play,1,1,10.0,19.0,,14.0,20.0,,Thompson-Naive,5ae3a41d32ef52000131a531
expert,play watch play,1,1,10.0,19.0,,11.0,17.0,,Thompson-Predict,5ae3a41d32ef52000131a531
novice,watch play play,1,1,15.0,14.0,,7,9,,Thompson-Lesion,60edc8b4b70a4a4131a8bcfa
novice,watch play play,1,1,15.0,14.0,,14,17,,Thompson-Naive,60edc8b4b70a4a4131a8bcfa
novice,watch play play,1,1,15.0,14.0,,15,14,,Thompson-Predict,60edc8b4b70a4a4131a8bcfa
expert,watch play play,1,1,10.0,8.0,,21,22,,Thompson-Lesion,5be4c8d0d4079000014c0998
expert,watch play play,1,1,10.0,8.0,,12,17,,Thompson-Naive,5be4c8d0d4079000014c0998
expert,watch play play,1,1,10.0,8.0,,19,20,,Thompson-Predict,5be4c8d0d4079000014c0998
expert,watch play play,1,1,17.0,17.0,,19,16,,Thompson-Lesion,5d1555fe628de0001966c2fa
expert,watch play play,1,1,17.0,17.0,,7,16,,Thompson-Naive,5d1555fe628de0001966c2fa
expert,watch play play,1,1,17.0,17.0,,18,17,,Thompson-Predict,5d1555fe628de0001966c2fa
expert,play watch play,0,0,16.0,21.0,,11.0,19.0,,Thompson-Lesion,5c4353086ce36f0001205f65
expert,play watch play,0,0,16.0,21.0,,14.0,14.0,,Thompson-Naive,5c4353086ce36f0001205f65
expert,play watch play,0,0,16.0,21.0,,9.0,17.0,,Thompson-Predict,5c4353086ce36f0001205f65
novice,watch play play,0,0,12.0,12.0,,12,12,,Thompson-Lesion,5ae3a41d32ef52000131a531
novice,watch play play,0,0,12.0,12.0,,14,12,,Thompson-Naive,5ae3a41d32ef52000131a531
novice,watch play play,0,0,12.0,12.0,,12,14,,Thompson-Predict,5ae3a41d32ef52000131a531
no teacher,play play play,3,1,15.0,17.0,23.0,11.0,15.0,20.0,Thompson-Lesion,65772daa307b28b9a9ec187f
no teacher,play play play,3,1,15.0,17.0,23.0,9.0,18.0,19.0,Thompson-Naive,65772daa307b28b9a9ec187f
no teacher,play play play,3,1,15.0,17.0,23.0,12.0,15.0,18.0,Thompson-Predict,65772daa307b28b9a9ec187f
novice,watch play play,0,0,8.0,14.0,,11,19,,Thompson-Lesion,5ba163d9cc5dd00001672c78
novice,watch play play,0,0,8.0,14.0,,9,16,,Thompson-Naive,5ba163d9cc5dd00001672c78
novice,watch play play,0,0,8.0,14.0,,10,13,,Thompson-Predict,5ba163d9cc5dd00001672c78
novice,play watch play,0,0,19.0,14.0,,17.0,14.0,,Thompson-Lesion,5df416a57bf5722f9a501255
novice,play watch play,0,0,19.0,14.0,,7.0,13.0,,Thompson-Naive,5df416a57bf5722f9a501255
novice,play watch play,0,0,19.0,14.0,,13.0,9.0,,Thompson-Predict,5df416a57bf5722f9a501255
novice,watch play play,1,1,8.0,11.0,,17,19,,Thompson-Lesion,5bf289cc17a7de0001cf52f0
novice,watch play play,1,1,8.0,11.0,,14,19,,Thompson-Naive,5bf289cc17a7de0001cf52f0
novice,watch play play,1,1,8.0,11.0,,17,15,,Thompson-Predict,5bf289cc17a7de0001cf52f0
expert,play watch play,0,0,17.0,16.0,,12.0,14.0,,Thompson-Lesion,6165af4b36cb3bae91f2e355
expert,play watch play,0,0,17.0,16.0,,11.0,12.0,,Thompson-Naive,6165af4b36cb3bae91f2e355
expert,play watch play,0,0,17.0,16.0,,12.0,16.0,,Thompson-Predict,6165af4b36cb3bae91f2e355
expert,watch play play,0,0,22.0,22.0,,18,18,,Thompson-Lesion,6473bd2d95a488b826bc24c4
expert,watch play play,0,0,22.0,22.0,,16,22,,Thompson-Naive,6473bd2d95a488b826bc24c4
expert,watch play play,0,0,22.0,22.0,,18,18,,Thompson-Predict,6473bd2d95a488b826bc24c4
expert,play watch play,1,1,6.0,12.0,,13.0,16.0,,Thompson-Lesion,5bbafad7736db000016d8600
expert,play watch play,1,1,6.0,12.0,,16.0,11.0,,Thompson-Naive,5bbafad7736db000016d8600
expert,play watch play,1,1,6.0,12.0,,11.0,15.0,,Thompson-Predict,5bbafad7736db000016d8600
novice,watch play play,1,1,13.0,20.0,,13,14,,Thompson-Lesion,5e62f732321c5c08db54cca2
novice,watch play play,1,1,13.0,20.0,,17,16,,Thompson-Naive,5e62f732321c5c08db54cca2
novice,watch play play,1,1,13.0,20.0,,7,8,,Thompson-Predict,5e62f732321c5c08db54cca2
novice,watch play play,0,0,21.0,21.0,,11,12,,Thompson-Lesion,6400d916e410c86255a45836
novice,watch play play,0,0,21.0,21.0,,15,15,,Thompson-Naive,6400d916e410c86255a45836
novice,watch play play,0,0,21.0,21.0,,17,19,,Thompson-Predict,6400d916e410c86255a45836
novice,play watch play,0,0,12.0,18.0,,8.0,12.0,,Thompson-Lesion,5e1c138a2bf9514062e4de6b
novice,play watch play,0,0,12.0,18.0,,12.0,9.0,,Thompson-Naive,5e1c138a2bf9514062e4de6b
novice,play watch play,0,0,12.0,18.0,,10.0,15.0,,Thompson-Predict,5e1c138a2bf9514062e4de6b
expert,watch play play,0,0,12.0,11.0,,12,15,,Thompson-Lesion,61183a3a63c62d933e60d5bf
expert,watch play play,0,0,12.0,11.0,,13,18,,Thompson-Naive,61183a3a63c62d933e60d5bf
expert,watch play play,0,0,12.0,11.0,,14,10,,Thompson-Predict,61183a3a63c62d933e60d5bf
expert,play watch play,1,1,9.0,21.0,,9.0,18.0,,Thompson-Lesion,5e62f732321c5c08db54cca2
expert,play watch play,1,1,9.0,21.0,,9.0,17.0,,Thompson-Naive,5e62f732321c5c08db54cca2
expert,play watch play,1,1,9.0,21.0,,11.0,17.0,,Thompson-Predict,5e62f732321c5c08db54cca2
no teacher,play play play,2,0,11.0,12.0,13.0,10.0,14.0,15.0,Thompson-Lesion,65403100f465bc9343e271d5
no teacher,play play play,2,0,11.0,12.0,13.0,10.0,12.0,10.0,Thompson-Naive,65403100f465bc9343e271d5
no teacher,play play play,2,0,11.0,12.0,13.0,9.0,11.0,16.0,Thompson-Predict,65403100f465bc9343e271d5
expert,play watch play,0,0,11.0,21.0,,8.0,22.0,,Thompson-Lesion,5be084ec4c397b0001ec3567
expert,play watch play,0,0,11.0,21.0,,13.0,16.0,,Thompson-Naive,5be084ec4c397b0001ec3567
expert,play watch play,0,0,11.0,21.0,,8.0,19.0,,Thompson-Predict,5be084ec4c397b0001ec3567
expert,play watch play,0,0,8.0,21.0,,12.0,20.0,,Thompson-Lesion,6138e0e705d9e4707bb79e09
expert,play watch play,0,0,8.0,21.0,,12.0,11.0,,Thompson-Naive,6138e0e705d9e4707bb79e09
expert,play watch play,0,0,8.0,21.0,,12.0,23.0,,Thompson-Predict,6138e0e705d9e4707bb79e09
novice,play watch play,1,1,16.0,13.0,,11.0,12.0,,Thompson-Lesion,654b007b971573e60e72d25c
novice,play watch play,1,1,16.0,13.0,,16.0,15.0,,Thompson-Naive,654b007b971573e60e72d25c
novice,play watch play,1,1,16.0,13.0,,13.0,14.0,,Thompson-Predict,654b007b971573e60e72d25c
novice,play watch play,0,0,11.0,16.0,,13.0,15.0,,Thompson-Lesion,5fc29e457497e203c3af6bb9
novice,play watch play,0,0,11.0,16.0,,12.0,14.0,,Thompson-Naive,5fc29e457497e203c3af6bb9
novice,play watch play,0,0,11.0,16.0,,14.0,14.0,,Thompson-Predict,5fc29e457497e203c3af6bb9
expert,watch play play,0,0,13.0,11.0,,15,14,,Thompson-Lesion,5bf4d3e01a71ac0001208301
expert,watch play play,0,0,13.0,11.0,,13,19,,Thompson-Naive,5bf4d3e01a71ac0001208301
expert,watch play play,0,0,13.0,11.0,,10,17,,Thompson-Predict,5bf4d3e01a71ac0001208301
novice,watch play play,1,1,11.0,8.0,,10,13,,Thompson-Lesion,589d0c07d6a2220001178695
novice,watch play play,1,1,11.0,8.0,,11,15,,Thompson-Naive,589d0c07d6a2220001178695
novice,watch play play,1,1,11.0,8.0,,9,17,,Thompson-Predict,589d0c07d6a2220001178695
expert,watch play play,0,0,12.0,14.0,,9,11,,Thompson-Lesion,5b33034d975e260001e981c9
expert,watch play play,0,0,12.0,14.0,,18,14,,Thompson-Naive,5b33034d975e260001e981c9
expert,watch play play,0,0,12.0,14.0,,13,12,,Thompson-Predict,5b33034d975e260001e981c9
expert,play watch play,1,1,12.0,17.0,,10.0,13.0,,Thompson-Lesion,65772daa307b28b9a9ec187f
expert,play watch play,1,1,12.0,17.0,,13.0,10.0,,Thompson-Naive,65772daa307b28b9a9ec187f
expert,play watch play,1,1,12.0,17.0,,14.0,17.0,,Thompson-Predict,65772daa307b28b9a9ec187f
no teacher,play play play,3,0,7.0,18.0,19.0,14.0,16.0,17.0,Thompson-Lesion,5b27ef8a7f7816000146499f
no teacher,play play play,3,0,7.0,18.0,19.0,17.0,8.0,18.0,Thompson-Naive,5b27ef8a7f7816000146499f
no teacher,play play play,3,0,7.0,18.0,19.0,11.0,15.0,20.0,Thompson-Predict,5b27ef8a7f7816000146499f
no teacher,play play play,1,0,16.0,19.0,19.0,6.0,15.0,23.0,Thompson-Lesion,5dbf704fa3f5cb40876271fc
no teacher,play play play,1,0,16.0,19.0,19.0,16.0,11.0,11.0,Thompson-Naive,5dbf704fa3f5cb40876271fc
no teacher,play play play,1,0,16.0,19.0,19.0,13.0,15.0,11.0,Thompson-Predict,5dbf704fa3f5cb40876271fc
novice,play watch play,0,0,11.0,15.0,,12.0,15.0,,Thompson-Lesion,62f3d5ac1cf87ffbc2f4f26b
novice,play watch play,0,0,11.0,15.0,,10.0,17.0,,Thompson-Naive,62f3d5ac1cf87ffbc2f4f26b
novice,play watch play,0,0,11.0,15.0,,14.0,15.0,,Thompson-Predict,62f3d5ac1cf87ffbc2f4f26b
novice,play watch play,1,1,19.0,16.0,,11.0,13.0,,Thompson-Lesion,611bce5ac6e92b749dc5e450
novice,play watch play,1,1,19.0,16.0,,16.0,16.0,,Thompson-Naive,611bce5ac6e92b749dc5e450
novice,play watch play,1,1,19.0,16.0,,10.0,21.0,,Thompson-Predict,611bce5ac6e92b749dc5e450
novice,watch play play,0,0,13.0,10.0,,13,12,,Thompson-Lesion,6020606d7b0258677b881f63
novice,watch play play,0,0,13.0,10.0,,6,9,,Thompson-Naive,6020606d7b0258677b881f63
novice,watch play play,0,0,13.0,10.0,,11,11,,Thompson-Predict,6020606d7b0258677b881f63
novice,watch play play,0,0,11.0,13.0,,14,14,,Thompson-Lesion,59c3289b8e6ea10001f7b926
novice,watch play play,0,0,11.0,13.0,,19,19,,Thompson-Naive,59c3289b8e6ea10001f7b926
novice,watch play play,0,0,11.0,13.0,,17,17,,Thompson-Predict,59c3289b8e6ea10001f7b926
expert,play watch play,0,0,13.0,16.0,,15.0,15.0,,Thompson-Lesion,5efe46699aca1b332ff927bc
expert,play watch play,0,0,13.0,16.0,,13.0,14.0,,Thompson-Naive,5efe46699aca1b332ff927bc
expert,play watch play,0,0,13.0,16.0,,12.0,10.0,,Thompson-Predict,5efe46699aca1b332ff927bc
novice,play watch play,0,0,11.0,16.0,,10.0,14.0,,Thompson-Lesion,5c318c0143b64d000171d078
novice,play watch play,0,0,11.0,16.0,,7.0,8.0,,Thompson-Naive,5c318c0143b64d000171d078
novice,play watch play,0,0,11.0,16.0,,9.0,13.0,,Thompson-Predict,5c318c0143b64d000171d078
expert,watch play play,1,1,11.0,14.0,,15,18,,Thompson-Lesion,5bf289cc17a7de0001cf52f0
expert,watch play play,1,1,11.0,14.0,,9,18,,Thompson-Naive,5bf289cc17a7de0001cf52f0
expert,watch play play,1,1,11.0,14.0,,15,17,,Thompson-Predict,5bf289cc17a7de0001cf52f0
expert,play watch play,1,1,21.0,21.0,,11.0,22.0,,Thompson-Lesion,5df416a57bf5722f9a501255
expert,play watch play,1,1,21.0,21.0,,13.0,16.0,,Thompson-Naive,5df416a57bf5722f9a501255
expert,play watch play,1,1,21.0,21.0,,19.0,21.0,,Thompson-Predict,5df416a57bf5722f9a501255
expert,watch play play,0,0,19.0,19.0,,19,20,,Thompson-Lesion,5d2a5458c0898e001ab08f65
expert,watch play play,0,0,19.0,19.0,,15,16,,Thompson-Naive,5d2a5458c0898e001ab08f65
expert,watch play play,0,0,19.0,19.0,,20,15,,Thompson-Predict,5d2a5458c0898e001ab08f65
expert,watch play play,0,0,19.0,18.0,,19,19,,Thompson-Lesion,631ffc3584141f143567f021
expert,watch play play,0,0,19.0,18.0,,13,15,,Thompson-Naive,631ffc3584141f143567f021
expert,watch play play,0,0,19.0,18.0,,18,17,,Thompson-Predict,631ffc3584141f143567f021
novice,play watch play,1,1,15.0,14.0,,13.0,16.0,,Thompson-Lesion,60e792f25e9ab875f9605cf5
novice,play watch play,1,1,15.0,14.0,,11.0,16.0,,Thompson-Naive,60e792f25e9ab875f9605cf5
novice,play watch play,1,1,15.0,14.0,,13.0,14.0,,Thompson-Predict,60e792f25e9ab875f9605cf5
novice,watch play play,0,0,18.0,22.0,,8,15,,Thompson-Lesion,5b33034d975e260001e981c9
novice,watch play play,0,0,18.0,22.0,,18,19,,Thompson-Naive,5b33034d975e260001e981c9
novice,watch play play,0,0,18.0,22.0,,12,10,,Thompson-Predict,5b33034d975e260001e981c9
novice,play watch play,1,1,11.0,14.0,,13.0,18.0,,Thompson-Lesion,5df2be706e8aab1d1eb46feb
