teacher_condition,block_condition,block_index,game_type,condition_index,total_reward,method
novice,watch play play,2,play,3,17,participants
novice,watch play play,0,watch,0,9,participants
novice,watch play play,1,play,0,13,participants
novice,watch play play,2,play,0,11,participants
novice,play watch play,0,play,1,9,participants
novice,play watch play,1,watch,1,14,participants
novice,play watch play,2,play,1,14,participants
expert,play watch play,0,play,2,15,participants
expert,play watch play,1,watch,2,14,participants
expert,play watch play,2,play,2,19,participants
expert,watch play play,0,watch,3,14,participants
expert,watch play play,1,play,3,19,participants
expert,watch play play,2,play,3,17,participants
expert,watch play play,0,watch,0,13,participants
expert,watch play play,1,play,0,16,participants
expert,watch play play,2,play,0,14,participants
expert,play watch play,0,play,1,14,participants
expert,play watch play,1,watch,1,13,participants
expert,play watch play,2,play,1,16,participants
novice,play watch play,0,play,2,17,participants
novice,play watch play,1,watch,2,14,participants
novice,play watch play,2,play,2,18,participants
novice,watch play play,0,watch,3,14,participants
novice,watch play play,1,play,3,15,participants
novice,watch play play,2,play,3,12,participants
expert,watch play play,0,watch,0,17,participants
expert,watch play play,1,play,0,19,participants
expert,watch play play,2,play,0,17,participants
expert,play watch play,0,play,1,9,participants
expert,play watch play,1,watch,1,15,participants
expert,play watch play,2,play,1,15,participants
novice,watch play play,0,watch,2,14,participants
novice,watch play play,1,play,2,17,participants
novice,watch play play,2,play,2,16,participants
novice,play watch play,0,play,3,15,participants
novice,play watch play,1,watch,3,12,participants
novice,play watch play,2,play,3,17,participants
expert,play watch play,0,play,0,16,participants
expert,play watch play,1,watch,0,16,participants
expert,play watch play,2,play,0,17,participants
novice,watch play play,0,watch,1,8,participants
novice,watch play play,1,play,1,14,participants
novice,watch play play,2,play,1,13,participants
novice,play watch play,0,play,2,14,participants
novice,play watch play,1,watch,2,12,participants
novice,play watch play,2,play,2,17,participants
expert,watch play play,0,watch,3,14,participants
expert,watch play play,1,play,3,17,participants
expert,watch play play,2,play,3,17,participants
novice,watch play play,0,watch,0,11,participants
novice,watch play play,1,play,0,11,participants
novice,watch play play,2,play,0,16,participants
novice,play watch play,0,play,1,18,participants
novice,play watch play,1,watch,1,9,participants
novice,play watch play,2,play,1,7,participants
expert,watch play play,0,watch,2,17,participants
expert,watch play play,1,play,2,6,participants
expert,watch play play,2,play,2,16,participants
expert,play watch play,0,play,3,9,participants
expert,play watch play,1,watch,3,13,participants
expert,play watch play,2,play,3,10,participants
expert,watch play play,0,watch,0,13,participants
expert,watch play play,1,play,0,16,participants
expert,watch play play,2,play,0,16,participants
expert,play watch play,0,play,1,14,participants
expert,play watch play,1,watch,1,16,participants
expert,play watch play,2,play,1,18,participants
novice,play watch play,0,play,2,19,participants
novice,play watch play,1,watch,2,8,participants
novice,play watch play,2,play,2,14,participants
novice,watch play play,0,watch,3,11,participants
novice,watch play play,1,play,3,18,participants
novice,watch play play,2,play,3,15,participants
expert,watch play play,0,watch,0,16,participants
expert,watch play play,1,play,0,15,participants
expert,watch play play,2,play,0,14,participants
novice,play watch play,0,play,1,14,participants
novice,play watch play,1,watch,1,12,participants
novice,play watch play,2,play,1,13,participants
novice,watch play play,0,watch,2,11,participants
novice,watch play play,1,play,2,11,participants
novice,watch play play,2,play,2,16,participants
expert,play watch play,0,play,3,13,participants
expert,play watch play,1,watch,3,18,participants
expert,play watch play,2,play,3,18,participants
novice,play watch play,0,play,0,8,participants
novice,play watch play,1,watch,0,10,participants
novice,play watch play,2,play,0,13,participants
expert,play watch play,0,play,1,10,participants
expert,play watch play,1,watch,1,17,participants
expert,play watch play,2,play,1,19,participants
novice,watch play play,0,watch,2,10,participants
novice,watch play play,1,play,2,19,participants
novice,watch play play,2,play,2,7,participants
expert,watch play play,0,watch,3,13,participants
expert,watch play play,1,play,3,15,participants
expert,watch play play,2,play,3,10,participants
expert,play watch play,0,play,0,11,participants
expert,play watch play,1,watch,0,16,participants
expert,play watch play,2,play,0,15,participants
expert,watch play play,0,watch,1,13,participants
expert,watch play play,1,play,1,13,participants
expert,watch play play,2,play,1,17,participants
novice,watch play play,0,watch,2,12,participants
novice,watch play play,1,play,2,17,participants
novice,watch play play,2,play,2,17,participants
novice,play watch play,0,play,3,9,participants
novice,play watch play,1,watch,3,10,participants
novice,play watch play,2,play,3,17,participants
novice,play watch play,0,play,0,11,participants
novice,play watch play,1,watch,0,11,participants
novice,play watch play,2,play,0,12,participants
expert,watch play play,0,watch,1,12,participants
expert,watch play play,1,play,1,17,participants
expert,watch play play,2,play,1,17,participants
novice,watch play play,0,watch,2,10,participants
novice,watch play play,1,play,2,15,participants
novice,watch play play,2,play,2,18,participants
expert,play watch play,0,play,3,16,participants
expert,play watch play,1,watch,3,14,participants
expert,play watch play,2,play,3,15,participants
expert,play watch play,0,play,0,18,participants
expert,play watch play,1,watch,0,15,participants
expert,play watch play,2,play,0,17,participants
novice,play watch play,0,play,1,20,participants
novice,play watch play,1,watch,1,14,participants
novice,play watch play,2,play,1,16,participants
expert,watch play play,0,watch,2,18,participants
expert,watch play play,1,play,2,19,participants
expert,watch play play,2,play,2,18,participants
novice,watch play play,0,watch,3,10,participants
novice,watch play play,1,play,3,15,participants
novice,watch play play,2,play,3,19,participants
expert,play watch play,0,play,0,14,participants
expert,play watch play,1,watch,0,16,participants
expert,play watch play,2,play,0,18,participants
expert,watch play play,0,watch,1,17,participants
expert,watch play play,1,play,1,16,participants
expert,watch play play,2,play,1,10,participants
novice,watch play play,0,watch,2,12,participants
novice,watch play play,1,play,2,17,participants
novice,watch play play,2,play,2,20,participants
novice,play watch play,0,play,3,13,participants
novice,play watch play,1,watch,3,12,participants
novice,play watch play,2,play,3,17,participants
novice,watch play play,0,watch,0,12,participants
novice,watch play play,1,play,0,11,participants
novice,watch play play,2,play,0,11,participants
expert,watch play play,0,watch,1,16,participants
expert,watch play play,1,play,1,18,participants
expert,watch play play,2,play,1,18,participants
novice,play watch play,0,play,2,10,participants
novice,play watch play,1,watch,2,9,participants
novice,play watch play,2,play,2,11,participants
expert,play watch play,0,play,3,12,participants
expert,play watch play,1,watch,3,15,participants
expert,play watch play,2,play,3,17,participants
expert,watch play play,0,watch,0,12,participants
expert,watch play play,1,play,0,16,participants
expert,watch play play,2,play,0,20,participants
novice,play watch play,0,play,1,15,participants
novice,play watch play,1,watch,1,12,participants
novice,play watch play,2,play,1,15,participants
expert,play watch play,0,play,2,16,participants
expert,play watch play,1,watch,2,15,participants
expert,play watch play,2,play,2,17,participants
novice,watch play play,0,watch,3,8,participants
novice,watch play play,1,play,3,16,participants
novice,watch play play,2,play,3,19,participants
novice,watch play play,0,watch,0,11,participants
novice,watch play play,1,play,0,14,participants
novice,watch play play,2,play,0,14,participants
expert,watch play play,0,watch,1,12,participants
expert,watch play play,1,play,1,15,participants
expert,watch play play,2,play,1,13,participants
expert,play watch play,0,play,2,12,participants
expert,play watch play,1,watch,2,17,participants
expert,play watch play,2,play,2,16,participants
novice,play watch play,0,play,3,11,participants
novice,play watch play,1,watch,3,11,participants
novice,play watch play,2,play,3,16,participants
expert,play watch play,0,play,0,10,participants
expert,play watch play,1,watch,0,16,participants
expert,play watch play,2,play,0,18,participants
novice,watch play play,0,watch,1,11,participants
novice,watch play play,1,play,1,16,participants
novice,watch play play,2,play,1,16,participants
expert,watch play play,0,watch,2,13,participants
expert,watch play play,1,play,2,16,participants
expert,watch play play,2,play,2,18,participants
novice,play watch play,0,play,3,6,participants
novice,play watch play,1,watch,3,11,participants
novice,play watch play,2,play,3,16,participants
novice,watch play play,0,watch,0,13,participants
novice,watch play play,1,play,0,14,participants
novice,watch play play,2,play,0,7,participants
expert,play watch play,0,play,1,13,participants
expert,play watch play,1,watch,1,16,participants
expert,play watch play,2,play,1,15,participants
novice,play watch play,0,play,2,12,participants
novice,play watch play,1,watch,2,9,participants
novice,play watch play,2,play,2,11,participants
expert,watch play play,0,watch,3,17,participants
expert,watch play play,1,play,3,12,participants
expert,watch play play,2,play,3,15,participants
expert,play watch play,0,play,0,7,participants
expert,play watch play,1,watch,0,16,participants
expert,play watch play,2,play,0,15,participants
expert,watch play play,0,watch,1,17,participants
expert,watch play play,1,play,1,14,participants
expert,watch play play,2,play,1,19,participants
novice,watch play play,0,watch,2,13,participants
novice,watch play play,1,play,2,13,participants
novice,watch play play,2,play,2,12,participants
novice,play watch play,0,play,3,14,participants
novice,play watch play,1,watch,3,8,participants
novice,play watch play,2,play,3,13,participants
novice,watch play play,0,watch,0,14,participants
novice,watch play play,1,play,0,19,participants
novice,watch play play,2,play,0,17,participants
expert,watch play play,0,watch,1,15,participants
expert,watch play play,1,play,1,17,participants
expert,watch play play,2,play,1,16,participants
novice,play watch play,0,play,2,15,participants
novice,play watch play,1,watch,2,9,participants
novice,play watch play,2,play,2,18,participants
expert,play watch play,0,play,3,8,participants
expert,play watch play,1,watch,3,16,participants
expert,play watch play,2,play,3,18,participants
expert,watch play play,0,watch,0,15,participants
expert,watch play play,1,play,0,11,participants
expert,watch play play,2,play,0,14,participants
novice,play watch play,0,play,1,15,participants
novice,play watch play,1,watch,1,13,participants
novice,play watch play,2,play,1,15,participants
novice,watch play play,0,watch,2,10,participants
novice,watch play play,1,play,2,17,participants
novice,watch play play,2,play,2,14,participants
expert,play watch play,0,play,3,18,participants
expert,play watch play,1,watch,3,11,participants
expert,play watch play,2,play,3,15,participants
expert,watch play play,0,watch,0,10,participants
expert,watch play play,1,play,0,11,participants
expert,watch play play,2,play,0,12,participants
novice,watch play play,0,watch,1,8,participants
novice,watch play play,1,play,1,15,participants
novice,watch play play,2,play,1,14,participants
expert,play watch play,0,play,2,12,participants
expert,play watch play,1,watch,2,16,participants
expert,play watch play,2,play,2,15,participants
novice,play watch play,0,play,3,11,participants
novice,play watch play,1,watch,3,11,participants
novice,play watch play,2,play,3,16,participants
novice,watch play play,0,watch,0,11,participants
novice,watch play play,1,play,0,11,participants
novice,watch play play,2,play,0,12,participants
expert,play watch play,0,play,1,12,participants
expert,play watch play,1,watch,1,19,participants
expert,play watch play,2,play,1,18,participants
novice,play watch play,0,play,2,13,participants
novice,play watch play,1,watch,2,12,participants
novice,play watch play,2,play,2,19,participants
expert,watch play play,0,watch,3,19,participants
expert,watch play play,1,play,3,16,participants
expert,watch play play,2,play,3,16,participants
expert,play watch play,0,play,0,13,participants
expert,play watch play,1,watch,0,15,participants
expert,play watch play,2,play,0,16,participants
novice,watch play play,0,watch,1,9,participants
novice,watch play play,1,play,1,17,participants
novice,watch play play,2,play,1,17,participants
expert,watch play play,0,watch,2,17,participants
expert,watch play play,1,play,2,17,participants
expert,watch play play,2,play,2,18,participants
novice,play watch play,0,play,3,15,participants
novice,play watch play,1,watch,3,10,participants
novice,play watch play,2,play,3,17,participants
expert,watch play play,0,watch,0,15,participants
expert,watch play play,1,play,0,17,participants
expert,watch play play,2,play,0,18,participants
novice,watch play play,0,watch,1,9,participants
novice,watch play play,1,play,1,14,participants
novice,watch play play,2,play,1,20,participants
novice,play watch play,0,play,2,9,participants
novice,play watch play,1,watch,2,9,participants
novice,play watch play,2,play,2,16,participants
expert,play watch play,0,play,3,16,participants
expert,play watch play,1,watch,3,17,participants
expert,play watch play,2,play,3,10,participants
expert,watch play play,0,watch,0,19,participants
expert,watch play play,1,play,0,17,participants
expert,watch play play,2,play,0,11,participants
expert,play watch play,0,play,1,15,participants
expert,play watch play,1,watch,1,18,participants
expert,play watch play,2,play,1,16,participants
novice,play watch play,0,play,2,13,participants
novice,play watch play,1,watch,2,14,participants
novice,play watch play,2,play,2,17,participants
novice,watch play play,0,watch,3,8,participants
novice,watch play play,1,play,3,10,participants
novice,watch play play,2,play,3,17,participants
novice,watch play play,0,watch,0,15,participants
novice,watch play play,1,play,0,16,participants
novice,watch play play,2,play,0,14,participants
expert,play watch play,0,play,1,7,participants
expert,play watch play,1,watch,1,12,participants
expert,play watch play,2,play,1,18,participants
novice,play watch play,0,play,2,13,participants
novice,play watch play,1,watch,2,7,participants
novice,play watch play,2,play,2,16,participants
expert,watch play play,0,watch,3,13,participants
expert,watch play play,1,play,3,15,participants
expert,watch play play,2,play,3,16,participants
expert,watch play play,0,watch,0,16,participants
expert,watch play play,1,play,0,14,participants
expert,watch play play,2,play,0,18,participants
novice,play watch play,0,play,1,17,participants
novice,play watch play,1,watch,1,8,participants
novice,play watch play,2,play,1,19,participants
expert,play watch play,0,play,2,15,participants
expert,play watch play,1,watch,2,17,participants
expert,play watch play,2,play,2,15,participants
novice,watch play play,0,watch,3,10,participants
novice,watch play play,1,play,3,15,participants
novice,watch play play,2,play,3,11,participants
expert,watch play play,0,watch,0,15,participants
expert,watch play play,1,play,0,15,participants
expert,watch play play,2,play,0,16,participants
novice,watch play play,0,watch,1,14,participants
novice,watch play play,1,play,1,18,participants
novice,watch play play,2,play,1,15,participants
expert,play watch play,0,play,2,14,participants
expert,play watch play,1,watch,2,15,participants
expert,play watch play,2,play,2,16,participants
novice,play watch play,0,play,3,15,participants
novice,play watch play,1,watch,3,9,participants
novice,play watch play,2,play,3,15,participants
expert,play watch play,0,play,0,9,participants
expert,play watch play,1,watch,0,13,participants
expert,play watch play,2,play,0,16,participants
expert,watch play play,0,watch,1,16,participants
expert,watch play play,1,play,1,17,participants
expert,watch play play,2,play,1,16,participants
novice,watch play play,0,watch,2,11,participants
novice,watch play play,1,play,2,19,participants
novice,watch play play,2,play,2,17,participants
novice,play watch play,0,play,3,12,participants
novice,play watch play,1,watch,3,12,participants
novice,play watch play,2,play,3,17,participants
expert,watch play play,0,watch,0,16,participants
expert,watch play play,1,play,0,17,participants
expert,watch play play,2,play,0,14,participants
novice,watch play play,0,watch,1,10,participants
novice,watch play play,1,play,1,14,participants
novice,watch play play,2,play,1,15,participants
novice,play watch play,0,play,2,16,participants
novice,play watch play,1,watch,2,9,participants
novice,play watch play,2,play,2,18,participants
expert,play watch play,0,play,3,13,participants
expert,play watch play,1,watch,3,15,participants
expert,play watch play,2,play,3,17,participants
expert,watch play play,0,watch,0,16,participants
expert,watch play play,1,play,0,18,participants
expert,watch play play,2,play,0,15,participants
novice,watch play play,0,watch,1,13,participants
novice,watch play play,1,play,1,16,participants
novice,watch play play,2,play,1,17,participants
expert,play watch play,0,play,2,11,participants
expert,play watch play,1,watch,2,14,participants
expert,play watch play,2,play,2,18,participants
novice,play watch play,0,play,3,15,participants
novice,play watch play,1,watch,3,11,participants
novice,play watch play,2,play,3,11,participants
novice,watch play play,0,watch,0,10,participants
novice,watch play play,1,play,0,19,participants
novice,watch play play,2,play,0,14,participants
expert,play watch play,0,play,1,16,participants
expert,play watch play,1,watch,1,16,participants
expert,play watch play,2,play,1,18,participants
novice,play watch play,0,play,2,13,participants
novice,play watch play,1,watch,2,9,participants
novice,play watch play,2,play,2,19,participants
expert,watch play play,0,watch,3,15,participants
expert,watch play play,1,play,3,18,participants
expert,watch play play,2,play,3,17,participants
expert,watch play play,0,watch,0,16,participants
expert,watch play play,1,play,0,16,participants
expert,watch play play,2,play,0,13,participants
novice,play watch play,0,play,1,15,participants
novice,play watch play,1,watch,1,8,participants
novice,play watch play,2,play,1,13,participants
expert,play watch play,0,play,2,11,participants
expert,play watch play,1,watch,2,14,participants
expert,play watch play,2,play,2,15,participants
novice,watch play play,0,watch,3,14,participants
novice,watch play play,1,play,3,14,participants
novice,watch play play,2,play,3,15,participants
novice,play watch play,0,play,0,10,participants
novice,play watch play,1,watch,0,7,participants
novice,play watch play,2,play,0,15,participants
expert,watch play play,0,watch,1,15,participants
expert,watch play play,1,play,1,15,participants
expert,watch play play,2,play,1,16,participants
expert,play watch play,0,play,2,13,participants
expert,play watch play,1,watch,2,14,participants
expert,play watch play,2,play,2,20,participants
novice,watch play play,0,watch,3,11,participants
novice,watch play play,1,play,3,11,participants
novice,watch play play,2,play,3,19,participants
novice,play watch play,0,play,0,18,participants
novice,play watch play,1,watch,0,9,participants
novice,play watch play,2,play,0,9,participants
novice,watch play play,0,watch,1,13,participants
novice,watch play play,1,play,1,13,participants
novice,watch play play,2,play,1,17,participants
expert,watch play play,0,watch,2,14,participants
expert,watch play play,1,play,2,17,participants
expert,watch play play,2,play,2,18,participants
expert,play watch play,0,play,3,10,participants
expert,play watch play,1,watch,3,14,participants
expert,play watch play,2,play,3,17,participants
expert,watch play play,0,watch,0,18,participants
expert,watch play play,1,play,0,19,participants
expert,watch play play,2,play,0,20,participants
novice,play watch play,0,play,1,16,participants
novice,play watch play,1,watch,1,10,participants
novice,play watch play,2,play,1,14,participants
novice,watch play play,0,watch,2,10,participants
novice,watch play play,1,play,2,13,participants
novice,watch play play,2,play,2,15,participants
expert,play watch play,0,play,3,17,participants
expert,play watch play,1,watch,3,14,participants
expert,play watch play,2,play,3,18,participants
expert,play watch play,0,play,0,14,participants
expert,play watch play,1,watch,0,15,participants
expert,play watch play,2,play,0,15,participants
expert,watch play play,0,watch,1,14,participants
expert,watch play play,1,play,1,12,participants
expert,watch play play,2,play,1,13,participants
novice,watch play play,0,watch,2,6,participants
novice,watch play play,1,play,2,11,participants
novice,watch play play,2,play,2,12,participants
novice,play watch play,0,play,3,16,participants
novice,play watch play,1,watch,3,10,participants
novice,play watch play,2,play,3,15,participants
expert,play watch play,0,play,0,11,participants
expert,play watch play,1,watch,0,13,participants
expert,play watch play,2,play,0,17,participants
expert,watch play play,0,watch,1,13,participants
expert,watch play play,1,play,1,18,participants
expert,watch play play,2,play,1,17,participants
novice,play watch play,0,play,2,15,participants
novice,play watch play,1,watch,2,9,participants
novice,play watch play,2,play,2,16,participants
novice,watch play play,0,watch,3,9,participants
novice,watch play play,1,play,3,18,participants
novice,watch play play,2,play,3,9,participants
expert,play watch play,0,play,0,10,participants
expert,play watch play,1,watch,0,12,participants
expert,play watch play,2,play,0,10,participants
expert,watch play play,0,watch,1,16,participants
expert,watch play play,1,play,1,11,participants
expert,watch play play,2,play,1,10,participants
novice,play watch play,0,play,2,8,participants
novice,play watch play,1,watch,2,12,participants
novice,play watch play,2,play,2,10,participants
novice,watch play play,0,watch,3,13,participants
novice,watch play play,1,play,3,16,participants
novice,watch play play,2,play,3,17,participants
novice,play watch play,0,play,0,12,participants
novice,play watch play,1,watch,0,11,participants
novice,play watch play,2,play,0,13,participants
expert,watch play play,0,watch,1,19,participants
expert,watch play play,1,play,1,13,participants
expert,watch play play,2,play,1,15,participants
expert,play watch play,0,play,2,11,participants
expert,play watch play,1,watch,2,17,participants
expert,play watch play,2,play,2,20,participants
novice,watch play play,0,watch,3,15,participants
novice,watch play play,1,play,3,15,participants
novice,watch play play,2,play,3,16,participants
expert,watch play play,0,watch,0,14,participants
expert,watch play play,1,play,0,18,participants
expert,watch play play,2,play,0,17,participants
novice,play watch play,0,play,1,13,participants
novice,play watch play,1,watch,1,11,participants
novice,play watch play,2,play,1,11,participants
expert,play watch play,0,play,2,16,participants
expert,play watch play,1,watch,2,15,participants
expert,play watch play,2,play,2,19,participants
novice,watch play play,0,watch,3,11,participants
novice,watch play play,1,play,3,15,participants
novice,watch play play,2,play,3,12,participants
