teacher_condition,block_condition,block_index,game_type,condition_index,total_reward,method
expert,play watch play,0,play,0,13,participants
expert,play watch play,1,watch,0,17,participants
expert,play watch play,2,play,0,17,participants
expert,watch play play,0,watch,1,18,participants
expert,watch play play,1,play,1,19,participants
expert,watch play play,2,play,1,16,participants
novice,play watch play,0,play,2,16,participants
novice,play watch play,1,watch,2,12,participants
novice,play watch play,2,play,2,16,participants
novice,watch play play,0,watch,3,15,participants
novice,watch play play,1,play,3,19,participants
novice,watch play play,2,play,3,18,participants
expert,play watch play,0,play,0,15,participants
expert,play watch play,1,watch,0,13,participants
expert,play watch play,2,play,0,16,participants
expert,watch play play,0,watch,1,14,participants
expert,watch play play,1,play,1,15,participants
expert,watch play play,2,play,1,18,participants
novice,play watch play,0,play,2,14,participants
novice,play watch play,1,watch,2,11,participants
novice,play watch play,2,play,2,18,participants
novice,watch play play,0,watch,3,10,participants
novice,watch play play,1,play,3,14,participants
novice,watch play play,2,play,3,17,participants
expert,play watch play,0,play,0,11,participants
expert,play watch play,1,watch,0,13,participants
expert,play watch play,2,play,0,13,participants
expert,watch play play,0,watch,1,19,participants
expert,watch play play,1,play,1,18,participants
expert,watch play play,2,play,1,18,participants
novice,play watch play,0,play,2,17,participants
novice,play watch play,1,watch,2,12,participants
novice,play watch play,2,play,2,14,participants
novice,watch play play,0,watch,3,15,participants
novice,watch play play,1,play,3,16,participants
novice,watch play play,2,play,3,18,participants
expert,play watch play,0,play,0,7,participants
expert,play watch play,1,watch,0,15,participants
expert,play watch play,2,play,0,13,participants
novice,play watch play,0,play,1,10,participants
novice,play watch play,1,watch,1,13,participants
novice,play watch play,2,play,1,14,participants
novice,watch play play,0,watch,2,10,participants
novice,watch play play,1,play,2,10,participants
novice,watch play play,2,play,2,7,participants
expert,watch play play,0,watch,3,15,participants
expert,watch play play,1,play,3,15,participants
expert,watch play play,2,play,3,9,participants
novice,watch play play,0,watch,0,11,participants
novice,watch play play,1,play,0,17,participants
novice,watch play play,2,play,0,15,participants
expert,watch play play,0,watch,1,13,participants
expert,watch play play,1,play,1,18,participants
expert,watch play play,2,play,1,18,participants
expert,play watch play,0,play,2,15,participants
expert,play watch play,1,watch,2,15,participants
expert,play watch play,2,play,2,15,participants
novice,play watch play,0,play,3,16,participants
novice,play watch play,1,watch,3,10,participants
novice,play watch play,2,play,3,16,participants
novice,watch play play,0,watch,0,11,participants
novice,watch play play,1,play,0,12,participants
novice,watch play play,2,play,0,18,participants
expert,play watch play,0,play,1,9,participants
expert,play watch play,1,watch,1,13,participants
expert,play watch play,2,play,1,17,participants
novice,play watch play,0,play,2,14,participants
novice,play watch play,1,watch,2,8,participants
novice,play watch play,2,play,2,13,participants
expert,watch play play,0,watch,3,13,participants
expert,watch play play,1,play,3,16,participants
expert,watch play play,2,play,3,15,participants
novice,play watch play,0,play,0,16,participants
novice,play watch play,1,watch,0,9,participants
novice,play watch play,2,play,0,11,participants
novice,watch play play,0,watch,1,11,participants
novice,watch play play,1,play,1,16,participants
novice,watch play play,2,play,1,13,participants
expert,watch play play,0,watch,2,16,participants
expert,watch play play,1,play,2,16,participants
expert,watch play play,2,play,2,12,participants
expert,play watch play,0,play,3,18,participants
expert,play watch play,1,watch,3,15,participants
expert,play watch play,2,play,3,20,participants
novice,play watch play,0,play,0,14,participants
novice,play watch play,1,watch,0,8,participants
novice,play watch play,2,play,0,16,participants
expert,watch play play,0,watch,1,13,participants
expert,watch play play,1,play,1,18,participants
expert,watch play play,2,play,1,16,participants
expert,play watch play,0,play,2,15,participants
expert,play watch play,1,watch,2,17,participants
expert,play watch play,2,play,2,16,participants
novice,watch play play,0,watch,3,9,participants
novice,watch play play,1,play,3,14,participants
