Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65b01cf682b712a2fc7fce0c,628524300be4422b915b32a9,AWAITING REVIEW,2024-01-23T20:09:30.097000Z,2024-01-23T20:18:17.432000Z,,2024-01-23T20:18:17.943912Z,528.0,CTVM94DF,1295,"No, I have no issues seeing colours",25,Male,Other,United States,United States,United States,Spanish,Yes,Full-Time
65b01d3db65be128cf613ec6,5e35e8505aa70059ea6edbcf,AWAITING REVIEW,2024-01-23T20:10:41.860000Z,2024-01-23T20:24:59.718000Z,,2024-01-23T20:25:02.011108Z,858.0,CTVM94DF,391,"No, I have no issues seeing colours",30,Female,White,United States,United States,United States,English,No,Other
65b01d622998e01f7c7757c8,58c518d7b101a70001293900,AWAITING REVIEW,2024-01-23T20:11:21.019000Z,2024-01-23T20:21:21.740000Z,,2024-01-23T20:21:22.255234Z,601.0,CTVM94DF,2790,"No, I have no issues seeing colours",40,Male,Mixed,United States,United States,United States,English,No,Full-Time
65b01dc324a6ebc52b489d64,5f24629d239fcb02d69a18d1,AWAITING REVIEW,2024-01-23T20:12:56.067000Z,2024-01-23T20:27:59.665000Z,,2024-01-23T20:28:00.113985Z,904.0,CTVM94DF,2215,"No, I have no issues seeing colours",37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65b01e02984acb926804ba0c,627e7b6d33e1df14160c05ba,AWAITING REVIEW,2024-01-23T20:16:48.551000Z,2024-01-23T20:55:30.574000Z,,2024-01-23T20:55:30.986218Z,2323.0,CTVM94DF,1333,"No, I have no issues seeing colours",25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b01e1342d273dfc29a66d0,5efe46699aca1b332ff927bc,AWAITING REVIEW,2024-01-23T20:16:17.813000Z,2024-01-23T20:27:43.255000Z,,2024-01-23T20:27:43.784718Z,686.0,CTVM94DF,1421,"No, I have no issues seeing colours",33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b01e26f06f4efc595268f6,5df2be706e8aab1d1eb46feb,AWAITING REVIEW,2024-01-23T20:14:36.714000Z,2024-01-23T20:27:55.568000Z,,2024-01-23T20:27:56.030806Z,799.0,CTVM94DF,3195,"No, I have no issues seeing colours",34,Male,Mixed,United States,United States,United States,English,No,Full-Time
65b01e2a7ff978233cbe49a2,606575435e519decf2dd36e3,AWAITING REVIEW,2024-01-23T20:14:38.506000Z,2024-01-23T20:27:46.604000Z,,2024-01-23T20:27:47.054607Z,789.0,CTVM94DF,351,"No, I have no issues seeing colours",28,Female,White,United States,United States,United States,English,No,Part-Time
65b01e597a3f050cb7fbca4f,5dc59839e4f0ff41239cb481,AWAITING REVIEW,2024-01-23T20:15:24.044000Z,2024-01-23T20:25:33.269000Z,,2024-01-23T20:25:33.857766Z,610.0,CTVM94DF,836,"Yes, I'm colourblind",35,Male,White,United States,United States,United States,English,No,Full-Time
65b01e70f1a0063d97442286,5be4c8d0d4079000014c0998,AWAITING REVIEW,2024-01-23T20:17:16.796000Z,2024-01-23T20:54:57.774000Z,,2024-01-23T20:54:58.210642Z,2261.0,CTVM94DF,1153,"No, I have no issues seeing colours",30,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b01e9c9dd119b146eb389e,5bd283469afb5b00015bdd5a,AWAITING REVIEW,2024-01-23T20:16:33.117000Z,2024-01-23T20:26:41.253000Z,,2024-01-23T20:26:41.727661Z,609.0,CTVM94DF,987,"No, I have no issues seeing colours",31,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
65b01ed3965254538646cc51,5f8486766d8e7b0f17df0206,AWAITING REVIEW,2024-01-23T20:17:26.545000Z,2024-01-23T20:30:03.020000Z,,2024-01-23T20:30:03.470661Z,757.0,CTVM94DF,1283,"No, I have no issues seeing colours",40,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
