prolific_id,teacher_condition,block_condition,block_index,game_type,condition_index,condition_count_index,total_reward,choice_variance,choice_entropy,method
55acf681fdf99b3d5b2ab68c,expert,play watch play,0,play,0,0,20,0,-0,Humans
55acf681fdf99b3d5b2ab68c,expert,play watch play,1,watch,0,0,17,2.9275362318840585,1.6117022325423545,Humans
55acf681fdf99b3d5b2ab68c,expert,play watch play,2,play,0,0,21,0,-0,Humans
55acf681fdf99b3d5b2ab68c,expert,play watch play,0,play,0,1,12,0.04166666666666665,0.24988229283318544,Humans
55acf681fdf99b3d5b2ab68c,expert,play watch play,1,watch,0,1,16,9.384057971014498,1.997224320061398,Humans
55acf681fdf99b3d5b2ab68c,expert,play watch play,2,play,0,1,20,0,-0,Humans
55acf681fdf99b3d5b2ab68c,no teacher,play play play,0,play,1,0,22,0,-0,Humans
55acf681fdf99b3d5b2ab68c,no teacher,play play play,1,play,1,0,22,0,-0,Humans
55acf681fdf99b3d5b2ab68c,no teacher,play play play,2,play,1,0,21,0,-0,Humans
55acf681fdf99b3d5b2ab68c,no teacher,play play play,0,play,1,1,19,0.3460144927536232,0.6583514224564075,Humans
55acf681fdf99b3d5b2ab68c,no teacher,play play play,1,play,1,1,21,0,-0,Humans
55acf681fdf99b3d5b2ab68c,no teacher,play play play,2,play,1,1,16,0.08695652173913043,0.49715018363696706,Humans
55acf681fdf99b3d5b2ab68c,novice,play watch play,0,play,2,0,17,0.7807971014492757,1.0434356963218767,Humans
55acf681fdf99b3d5b2ab68c,novice,play watch play,1,watch,2,0,12,9.01449275362319,3.236440501696145,Humans
55acf681fdf99b3d5b2ab68c,novice,play watch play,2,play,2,0,14,1.2155797101449273,0.9000224216483541,Humans
55acf681fdf99b3d5b2ab68c,novice,play watch play,0,play,2,1,17,0.5199275362318848,0.49715018363696706,Humans
55acf681fdf99b3d5b2ab68c,novice,play watch play,1,watch,2,1,8,11.780797101449277,3.204986855772667,Humans
55acf681fdf99b3d5b2ab68c,novice,play watch play,2,play,2,1,9,11.905797101449277,2.4328173151210217,Humans
55acf681fdf99b3d5b2ab68c,novice,watch play play,0,watch,3,0,13,14.521739130434783,3.386842188131012,Humans
55acf681fdf99b3d5b2ab68c,novice,watch play play,1,play,3,0,12,2.840579710144929,1.5760875253642985,Humans
55acf681fdf99b3d5b2ab68c,novice,watch play play,2,play,3,0,13,0.04166666666666667,0.24988229283318544,Humans
55acf681fdf99b3d5b2ab68c,novice,watch play play,0,watch,3,1,13,11.46195652173913,3.256866543182522,Humans
55acf681fdf99b3d5b2ab68c,novice,watch play play,1,play,3,1,16,0.782608695652174,1.2934356963218767,Humans
55acf681fdf99b3d5b2ab68c,novice,watch play play,2,play,3,1,14,0.041666666666666664,0.24988229283318544,Humans
55acf681fdf99b3d5b2ab68c,expert,watch play play,0,watch,4,0,11,6.650362318840584,2.773131523414322,Humans
