Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66c8025b9df0caa252d719a5,66744822576b11d40628191b,AWAITING REVIEW,Not Applicable,2024-08-23T03:30:47.297000Z,2024-08-23T03:47:48.497000Z,,2024-08-23T03:47:49.122800Z,1022.0,CTVM94DF,307,"No, I have no issues seeing colours",40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66c80664fabcf7f9c8bb043a,663c18b624172c32a8dbb066,AWAITING REVIEW,Not Applicable,2024-08-23T03:47:48.726000Z,2024-08-23T04:20:45.804000Z,,2024-08-23T04:28:19.622786Z,1978.0,NOCODE,612,"No, I have no issues seeing colours",35,Male,Black,United States,United States,United States,English,No,Full-Time
66c80e2576895ebe2db7bad3,661094be457866d2fd65a77d,AWAITING REVIEW,Not Applicable,2024-08-23T04:22:13.762000Z,2024-08-23T04:37:09.951000Z,,2024-08-23T04:37:10.696148Z,897.0,CTVM94DF,386,"No, I have no issues seeing colours",31,Female,White,United States,United States,United States,English,No,Full-Time
66c811f5d6cde03f2510010b,57dd186e6598aa0001992616,AWAITING REVIEW,Not Applicable,2024-08-23T04:37:09.963000Z,2024-08-23T05:02:48.056000Z,,2024-08-23T05:02:48.878891Z,1539.0,CTVM94DF,8160,"No, I have no issues seeing colours",31,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c817f89b9200984ff011be,6676fab6295042ff191ead64,AWAITING REVIEW,Not Applicable,2024-08-23T05:02:48.071000Z,2024-08-23T05:19:00.077000Z,,2024-08-23T05:19:22.862704Z,973.0,CTVM94DF,433,"No, I have no issues seeing colours",28,Male,White,United States,United States,United States,English,Yes,Part-Time
66c81bcafc2eb94abfbf869d,5dc8465ad362415b3383405f,AWAITING REVIEW,Not Applicable,2024-08-23T05:19:14.769000Z,2024-08-23T05:36:11.299000Z,,2024-08-23T05:36:11.971349Z,1017.0,CTVM94DF,2828,"No, I have no issues seeing colours",33,Male,Asian,United States,United States,United States,English,No,Part-Time
66c81fd187f9e57e31bb80d5,664d22bd125af12d9d859875,AWAITING REVIEW,Not Applicable,2024-08-23T05:36:32.971000Z,2024-08-23T05:48:21.543000Z,,2024-08-23T05:48:22.200657Z,709.0,CTVM94DF,290,"No, I have no issues seeing colours",20,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
66c822a5e6586eb5d252f6c9,65dd714ddb352fb040e63037,AWAITING REVIEW,Not Applicable,2024-08-23T05:50:24.020000Z,2024-08-23T06:06:32.331000Z,,2024-08-23T06:06:32.965646Z,969.0,CTVM94DF,178,"No, I have no issues seeing colours",20,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
66c826ee0e5db73e2b4aedac,661fee35973b5ff6fa3418ef,AWAITING REVIEW,Not Applicable,2024-08-23T06:06:38.161000Z,2024-08-23T06:25:25.625000Z,,2024-08-23T06:25:26.251943Z,1128.0,CTVM94DF,392,"No, I have no issues seeing colours",29,Male,Asian,United States,United States,United States,Chinese,No,Full-Time
66c82d0e14495663bab2639a,65ee4106d4b632b7fb7a3f79,AWAITING REVIEW,Not Applicable,2024-08-23T06:33:07.392000Z,2024-08-23T07:08:21.767000Z,,2024-08-23T07:08:22.443573Z,2115.0,CTVM94DF,1089,"No, I have no issues seeing colours",36,Male,White,Iran,United States,United States,English,No,Full-Time
66c8356bee60973633f5e729,66c01eb2682bbd1930f1dbbf,AWAITING REVIEW,Not Applicable,2024-08-23T07:08:38.040000Z,2024-08-23T07:20:25.307000Z,,2024-08-23T07:20:26.462961Z,708.0,CTVM94DF,44,"No, I have no issues seeing colours",20,Male,White,United States,United States,United States,English,Yes,Part-Time
66c838429a3764cba93e4661,66355c3eb4af8771dcfa599f,AWAITING REVIEW,Not Applicable,2024-08-23T07:20:58.388000Z,2024-08-23T07:37:15.095000Z,,2024-08-23T07:38:21.637008Z,977.0,CTVM94DF,750,"No, I have no issues seeing colours",39,Female,White,United States,United States,United States,English,No,Full-Time
66c83c31d957da05b39e8fd3,668bfbcbfd735b6652c60f20,AWAITING REVIEW,Not Applicable,2024-08-23T07:37:33.087000Z,2024-08-23T08:12:00.005000Z,,2024-08-23T08:12:00.669641Z,2067.0,CTVM94DF,218,"No, I have no issues seeing colours",30,Female,Black,Ghana,United States,United States,English,Yes,Full-Time
66c84450bf5c87ab17e91942,6175e05636b79082f8d345c5,AWAITING REVIEW,Not Applicable,2024-08-23T08:12:00.499000Z,2024-08-23T08:31:08.633000Z,,2024-08-23T08:31:09.284146Z,1149.0,CTVM94DF,5280,"No, I have no issues seeing colours",36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c848d8b69064c9ba289a82,60bd80a54df9675c7f842774,AWAITING REVIEW,Not Applicable,2024-08-23T08:31:24.017000Z,2024-08-23T08:40:58.180000Z,,2024-08-23T08:41:03.312187Z,575.0,CTVM94DF,719,"No, I have no issues seeing colours",32,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66c84b1aa36d267f4118d84a,66af6ec03f88a7908cefa922,AWAITING REVIEW,Not Applicable,2024-08-23T08:41:06.710000Z,2024-08-23T09:12:51.031000Z,,2024-08-23T09:12:51.757426Z,1905.0,CTVM94DF,70,"No, I have no issues seeing colours",32,Female,White,United States,United States,United States,English,Yes,Full-Time
66c8529b1f1250e3ae134202,663b4ac38f566e82f5d5f1c1,AWAITING REVIEW,Not Applicable,2024-08-23T09:13:12.125000Z,2024-08-23T09:29:41.441000Z,,2024-08-23T09:30:13.556935Z,990.0,CTVM94DF,572,"No, I have no issues seeing colours",33,Female,White,United States,United States,United States,English,No,Full-Time
66c8568ebf30f7d359404494,66afd62bf17723edc4f677ce,AWAITING REVIEW,Not Applicable,2024-08-23T09:30:00.381000Z,2024-08-23T09:53:23.390000Z,,2024-08-23T09:53:23.965424Z,1404.0,CTVM94DF,66,"No, I have no issues seeing colours",25,Male,White,United States,United States,United States,English,Yes,Full-Time
66c85c13b356e24ac33ba68f,65ccca52871269168cc029b5,AWAITING REVIEW,Not Applicable,2024-08-23T09:53:23.939000Z,2024-08-23T10:04:47.602000Z,,2024-08-23T10:04:49.357191Z,684.0,CTVM94DF,442,"No, I have no issues seeing colours",28,Male,White,United States,United States,United States,English,No,Other
66c7d5cf93f34fadabc94682,6678426a9e81680de1d36737,RETURNED,Not Applicable,2024-08-23T00:21:05.917000Z,,,,,,370,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66c7e6a5981f2c6c7e31d31f,63d520bc8833c489caf0023a,TIMED-OUT,Not Applicable,2024-08-23T01:32:25.463000Z,,,,487241.0,,2822,"No, I have no issues seeing colours",34,Male,Other,United States,United States,Puerto Rico,English,No,Full-Time
66c82b5dab038217fbf32d00,611b39726e9958645cd37e18,RETURNED,Not Applicable,2024-08-23T06:26:44.090000Z,,,,,,2394,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
