Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66c7a72c3466b8d0c5de57b3,663e45859f8c047d9fec1d2c,AWAITING REVIEW,Not Applicable,2024-08-22T21:01:37.092000Z,2024-08-22T21:14:53.846000Z,,2024-08-22T21:15:05.953319Z,797.0,CTVM94DF,33,"No, I have no issues seeing colours",22,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
66c7aa65629ebf27e0247ac2,60ff3a2712ebb9e04a80b4d0,AWAITING REVIEW,Not Applicable,2024-08-22T21:15:21.866000Z,2024-08-22T21:32:29.217000Z,,2024-08-22T21:33:06.122693Z,1028.0,CTVM94DF,147,"No, I have no issues seeing colours",22,Female,White,United States,United States,United Kingdom,English,No,DATA_EXPIRED
66c7ae7a90b82e37ec498bcf,66c6289bcd5017a746a8ee66,AWAITING REVIEW,Not Applicable,2024-08-22T21:32:46.237000Z,2024-08-22T21:45:16.699000Z,,2024-08-22T21:45:17.800697Z,751.0,CTVM94DF,3,"No, I have no issues seeing colours",24,Female,White,United States,United States,United States,English,Yes,Part-Time
66c7b17c551f80a1d3ea4a05,668de1c2d198558b30239a34,AWAITING REVIEW,Not Applicable,2024-08-22T21:45:41.239000Z,2024-08-22T22:05:23.895000Z,,2024-08-22T22:07:15.605728Z,1183.0,CTVM94DF,138,"No, I have no issues seeing colours",23,Female,Black,United States,United States,United States,English,Yes,Part-Time
66c7b62b0f062176e257e2ef,66b93ca6468b2cb25b039588,AWAITING REVIEW,Not Applicable,2024-08-22T22:06:13.576000Z,2024-08-22T22:17:35.277000Z,,2024-08-22T22:17:35.961875Z,682.0,CTVM94DF,51,"No, I have no issues seeing colours",33,Male,White,United States,United States,United States,English,No,Full-Time
66c7b9034a10bf4bc923e993,66464cb5fa68d7813581f103,AWAITING REVIEW,Not Applicable,2024-08-22T22:17:57.435000Z,2024-08-22T22:27:50.613000Z,,2024-08-22T22:29:08.823034Z,594.0,CTVM94DF,205,"No, I have no issues seeing colours",34,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
66c7bb6ed07a55749121a1ef,65006bec31c35a02228b9998,AWAITING REVIEW,Not Applicable,2024-08-22T22:28:02.763000Z,2024-08-22T22:40:30.879000Z,,2024-08-22T22:40:31.588797Z,749.0,CTVM94DF,2350,"No, I have no issues seeing colours",34,Female,White,United States,United States,United States,English,Yes,Full-Time
66c7be65616638c66ff3cd0d,5b0b77a9d282ff00015b7531,AWAITING REVIEW,Not Applicable,2024-08-22T22:40:43.495000Z,2024-08-22T22:50:13.008000Z,,2024-08-22T22:50:14.072911Z,570.0,CTVM94DF,754,"No, I have no issues seeing colours",23,Male,White,United States,United States,United States,English,Yes,Part-Time
66c7c0a5621326f8b2ac351a,66bf7e6064952f1b772cac44,AWAITING REVIEW,Not Applicable,2024-08-22T22:50:35.605000Z,2024-08-22T23:13:07.388000Z,,2024-08-22T23:13:08.060441Z,1352.0,CTVM94DF,33,"No, I have no issues seeing colours",25,Male,White,United States,United States,United States,English,No,Full-Time
66c7c608cd51eda43a8f9236,66b143a85a384f0fb5d317e9,AWAITING REVIEW,Not Applicable,2024-08-22T23:13:19.661000Z,2024-08-22T23:27:58.773000Z,,2024-08-22T23:27:59.506126Z,880.0,CTVM94DF,59,"No, I have no issues seeing colours",24,Male,White,United States,United States,United States,English,Yes,Full-Time
66c7c97f89da53fed2555b7b,665f2bff5d2a93a43162960f,AWAITING REVIEW,Not Applicable,2024-08-22T23:35:38.244000Z,2024-08-22T23:47:20.358000Z,,2024-08-22T23:47:21.076674Z,703.0,CTVM94DF,181,"No, I have no issues seeing colours",23,Male,Asian,United States,United States,United States,Tagalog-Filipino,No,Unemployed (and job seeking)
66c7ce0eef2de649624990a7,6631d1814acfe3524a133869,AWAITING REVIEW,Not Applicable,2024-08-22T23:47:58.465000Z,2024-08-22T23:57:56.412000Z,,2024-08-22T23:57:57.312884Z,598.0,CTVM94DF,554,"No, I have no issues seeing colours",36,Male,Asian,China,United States,United States,English,No,Full-Time
66c7d0848070e827bcabebbd,66799662d6513151e840c6af,AWAITING REVIEW,Not Applicable,2024-08-22T23:58:35.804000Z,2024-08-23T00:06:50.344000Z,,2024-08-23T00:06:53.834390Z,495.0,CTVM94DF,320,"No, I have no issues seeing colours",32,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66c7d2a177f72490b66eb898,66bd0b8a2d07447ae9a52ec3,AWAITING REVIEW,Not Applicable,2024-08-23T00:08:03.785000Z,2024-08-23T00:20:31.890000Z,,2024-08-23T00:23:10.007531Z,749.0,CTVM94DF,52,"No, I have no issues seeing colours",34,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66c7d91914b04adca34b3ff4,631c8e97db06f601f81bd82f,AWAITING REVIEW,Not Applicable,2024-08-23T00:34:35.250000Z,2024-08-23T00:47:49.145000Z,,2024-08-23T00:48:06.228996Z,794.0,CTVM94DF,6168,"No, I have no issues seeing colours",27,Male,White,United States,United States,United States,English,No,Full-Time
66c7dc355b428c8162ffab8e,66a85d605861e2e51f8cc687,AWAITING REVIEW,Not Applicable,2024-08-23T00:48:02.637000Z,2024-08-23T01:08:28.566000Z,,2024-08-23T01:08:29.178961Z,1226.0,CTVM94DF,94,"No, I have no issues seeing colours",26,Male,Mixed,United States,United States,United States,English,No,Full-Time
66c7e10c87f9e57e31bb7a2b,610cd5f2b38b2d1bffe55477,AWAITING REVIEW,Not Applicable,2024-08-23T01:10:23.773000Z,2024-08-23T01:32:16.418000Z,,2024-08-23T01:32:17.156333Z,1313.0,CTVM94DF,5574,"No, I have no issues seeing colours",32,Male,White,United States,United States,United States,Spanish,Yes,Other
66c7ef1ae6c2ec3a76c39ce6,65c528cadf7003767a4d311f,AWAITING REVIEW,Not Applicable,2024-08-23T02:08:26.530000Z,2024-08-23T02:19:50.800000Z,,2024-08-23T02:19:51.989069Z,685.0,CTVM94DF,551,"No, I have no issues seeing colours",23,Prefer not to say,Asian,India,United States,United States,English,Yes,Part-Time
66c7f1cde43985cfcb2c9913,66b7984b939561d1a08ff724,AWAITING REVIEW,Not Applicable,2024-08-23T02:20:08.652000Z,2024-08-23T02:41:32.738000Z,,2024-08-23T02:44:54.229106Z,1285.0,CTVM94DF,74,"No, I have no issues seeing colours",31,Male,White,United States,United States,United States,English,No,Part-Time
66c7f6dc465bb49bdc7e9255,66bf9186bd2d3d587607e3c9,AWAITING REVIEW,Not Applicable,2024-08-23T02:41:32.803000Z,2024-08-23T03:20:03.341000Z,,2024-08-23T03:20:03.764149Z,2311.0,CTVM94DF,81,"No, I have no issues seeing colours",34,Female,Black,United States,United States,United States,English,Yes,Full-Time
66c7ffe9f60dadd308cb0986,666cad20b467bfec0cc373a9,AWAITING REVIEW,Not Applicable,2024-08-23T03:20:14.627000Z,2024-08-23T03:30:29.811000Z,,2024-08-23T03:34:04.998071Z,616.0,CTVM94DF,315,"No, I have no issues seeing colours",29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
