_id,uid,step,position,action,timestamp,shots_remaining,game_type,total_reward,reward_generated,shot,block_id,block_index,teacher,solver,payoffs_id,policy_id,__v,condition_index
656a535637a5fda100f42641,lpn5huou0.bvbbodgheb8,1,9,shoot,2023-12-01T21:42:46.238Z,19,watch,0,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535737a5fda100f42643,lpn5huou0.bvbbodgheb8,2,6,shoot,2023-12-01T21:42:47.271Z,18,watch,1,true,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535837a5fda100f42645,lpn5huou0.bvbbodgheb8,3,5,shoot,2023-12-01T21:42:48.288Z,17,watch,1,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535937a5fda100f42647,lpn5huou0.bvbbodgheb8,4,2,shoot,2023-12-01T21:42:49.304Z,16,watch,1,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535a37a5fda100f42649,lpn5huou0.bvbbodgheb8,5,2,shoot,2023-12-01T21:42:50.321Z,15,watch,1,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535b37a5fda100f4264b,lpn5huou0.bvbbodgheb8,6,2,shoot,2023-12-01T21:42:51.338Z,14,watch,1,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535c37a5fda100f4264d,lpn5huou0.bvbbodgheb8,7,0,shoot,2023-12-01T21:42:52.373Z,13,watch,2,true,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535d37a5fda100f4264f,lpn5huou0.bvbbodgheb8,8,4,shoot,2023-12-01T21:42:53.402Z,12,watch,2,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535e37a5fda100f42651,lpn5huou0.bvbbodgheb8,9,8,shoot,2023-12-01T21:42:54.421Z,11,watch,3,true,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a535f37a5fda100f42653,lpn5huou0.bvbbodgheb8,10,2,shoot,2023-12-01T21:42:55.437Z,10,watch,3,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a536037a5fda100f42655,lpn5huou0.bvbbodgheb8,11,5,shoot,2023-12-01T21:42:56.453Z,9,watch,3,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a536137a5fda100f42657,lpn5huou0.bvbbodgheb8,12,0,shoot,2023-12-01T21:42:57.488Z,8,watch,4,true,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a536237a5fda100f42659,lpn5huou0.bvbbodgheb8,13,0,shoot,2023-12-01T21:42:58.506Z,7,watch,5,true,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a536337a5fda100f4265b,lpn5huou0.bvbbodgheb8,14,2,shoot,2023-12-01T21:42:59.522Z,6,watch,5,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
656a536437a5fda100f4265d,lpn5huou0.bvbbodgheb8,15,2,shoot,2023-12-01T21:43:00.538Z,5,watch,5,false,true,block_type2,0,novice,ucb,payoffs1,policy0,0,
