Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66ba32e08d0b0c20d471c227,5e83d53c1c21011345af7cf0,AWAITING REVIEW,Not Applicable,2024-08-12T16:05:55.341000Z,2024-08-12T16:14:22.940000Z,,2024-08-12T16:15:42.028386Z,508.0,CTVM94DF,585,"No, I have no issues seeing colours",29,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
66ba34f5d70e0db85334e50f,66394a71ddb3ea614deac97c,AWAITING REVIEW,Not Applicable,2024-08-12T16:14:53.093000Z,2024-08-12T16:32:32.254000Z,,2024-08-12T16:32:32.873917Z,1060.0,CTVM94DF,227,"No, I have no issues seeing colours",33,Female,White,United States,United States,United States,English,No,Full-Time
66ba3933a9be21a220866c96,600f9342e7bc5518fa9ca92a,AWAITING REVIEW,Not Applicable,2024-08-12T16:33:03.212000Z,2024-08-12T16:40:46.139000Z,,2024-08-12T16:40:46.748312Z,463.0,CTVM94DF,1613,"No, I have no issues seeing colours",19,Male,Asian,United States,United States,United States,English,Yes,Part-Time
66ba3b182b98850cc294c8c7,57c137bf5b8c510001af5981,AWAITING REVIEW,Not Applicable,2024-08-12T16:41:04.949000Z,2024-08-12T16:56:31.312000Z,,2024-08-12T16:58:50.418314Z,927.0,CTVM94DF,2272,"Yes, I'm colourblind",35,Male,White,United States,United States,United States,English,No,Full-Time
66ba3ec0bc582e7db540063a,62b2c25fa2e87e7ed2da2b87,AWAITING REVIEW,Not Applicable,2024-08-12T16:56:45.993000Z,2024-08-12T17:06:19.807000Z,,2024-08-12T17:06:20.333811Z,574.0,CTVM94DF,3020,"No, I have no issues seeing colours",32,Male,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66ba4117ca6d5d6fa20aa189,63e52483a88355a3a0ac62c5,AWAITING REVIEW,Not Applicable,2024-08-12T17:07:08.886000Z,2024-08-12T17:35:58.002000Z,,2024-08-12T17:35:58.779643Z,1730.0,CTVM94DF,2471,"No, I have no issues seeing colours",35,Male,White,United States,United States,United States,English,No,Full-Time
66ba47fe1f7c463a26623256,66083f910aeb017b4edee86f,AWAITING REVIEW,Not Applicable,2024-08-12T17:35:58.562000Z,2024-08-12T17:58:10.379000Z,,2024-08-12T17:58:11.280279Z,1332.0,CTVM94DF,427,"No, I have no issues seeing colours",38,Male,White,United States,United States,United States,English,No,Full-Time
66ba4d37658434b68f77297a,60555b56af1bc30f5d438bd2,AWAITING REVIEW,Not Applicable,2024-08-12T17:58:20.250000Z,2024-08-12T18:13:15.572000Z,,2024-08-12T18:15:39.310180Z,896.0,CTVM94DF,1983,"No, I have no issues seeing colours",28,Prefer not to say,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66ba50c1cee54ca4ad896814,6685c283c7d2e84750290782,AWAITING REVIEW,Not Applicable,2024-08-12T18:13:30.615000Z,2024-08-12T18:24:03.261000Z,,2024-08-12T18:24:12.663317Z,633.0,CTVM94DF,121,"No, I have no issues seeing colours",37,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66ba534345e614d69ddf6751,660a9e67953a82733f06c302,AWAITING REVIEW,Not Applicable,2024-08-12T18:24:03.263000Z,2024-08-12T18:52:14.805000Z,,2024-08-12T18:52:15.866669Z,1692.0,CTVM94DF,689,"No, I have no issues seeing colours",27,Female,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,Full-Time
66ba59e436b184eb20868596,669abec15946546f5a97a5ff,AWAITING REVIEW,Not Applicable,2024-08-12T18:52:27.990000Z,2024-08-12T19:04:24.362000Z,,2024-08-12T19:04:25.561118Z,717.0,CTVM94DF,125,"No, I have no issues seeing colours",32,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66ba5cbdf7efa6a31648b7fb,6341a541b6cfd5f8933f48c4,AWAITING REVIEW,Not Applicable,2024-08-12T19:04:35.259000Z,2024-08-12T19:26:05.120000Z,,2024-08-12T19:26:05.864825Z,1290.0,CTVM94DF,4157,"No, I have no issues seeing colours",37,Male,Black,United States,United States,United States,English,No,Full-Time
66ba61cdc0092fa80cb86d1b,6679a404220d9536f94e7aa0,AWAITING REVIEW,Not Applicable,2024-08-12T19:31:06.766000Z,2024-08-12T19:47:06.056000Z,,2024-08-12T19:48:13.639083Z,960.0,CTVM94DF,277,"No, I have no issues seeing colours",38,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
66ba66ba6e554d716b474933,66465c850d9a3e177f2649fa,AWAITING REVIEW,Not Applicable,2024-08-12T19:47:06.292000Z,2024-08-12T20:03:10.765000Z,,2024-08-12T20:03:11.461999Z,965.0,CTVM94DF,279,"No, I have no issues seeing colours",33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66ba6a8254ae8842a7c36209,5d15c0dcdb7eb70018f1a45b,AWAITING REVIEW,Not Applicable,2024-08-12T20:03:19.818000Z,2024-08-12T20:15:08.433000Z,,2024-08-12T20:15:09.057051Z,709.0,CTVM94DF,81,"No, I have no issues seeing colours",24,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
66ba6d4c64f5f125546d0894,5fa0d1a1e40401160ec4a011,AWAITING REVIEW,Not Applicable,2024-08-12T20:15:08.726000Z,2024-08-12T20:23:03.897000Z,,2024-08-12T20:24:42.987731Z,476.0,CTVM94DF,263,"No, I have no issues seeing colours",18,Male,White,United States,United States,United States,English,Yes,Part-Time
66ba6f2bd42abe0208f176c3,656083eb366411e4a862f58c,AWAITING REVIEW,Not Applicable,2024-08-12T20:23:19.680000Z,2024-08-12T20:37:17.619000Z,,2024-08-12T20:37:25.931924Z,838.0,CTVM94DF,257,"No, I have no issues seeing colours",35,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
66ba72839a0abc12add98e04,66b4435fb108e209c89f1990,AWAITING REVIEW,Not Applicable,2024-08-12T20:37:27.235000Z,2024-08-12T20:44:58.674000Z,,2024-08-12T20:46:54.471204Z,452.0,CTVM94DF,23,"No, I have no issues seeing colours",34,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
